"","Farm.CODE","Latitude","Longitude","SUB.LOCATION","Season","PLOTCODE","TREATMENT","HARVEST.AREA..M2.","PLANT.COUNT","NO..OF.COBS","COB.F.W...Kg.","yield.t.ha","stov.t.ha"
"1","F1",0.0974,34.4228,"Lundha","LR2016","F11","Control",6.75,38,18,0.932,0.533293559322034,0.30637037037037
"2","F1",0.0974,34.4228,"Lundha","LR2016","F12","PK",6.75,32,30,3.556,2.99715242230737,3.34911111111111
"3","F1",0.0974,34.4228,"Lundha","LR2016","F13","NK",6.75,40,29,4.305,3.64071415655484,5.8797037037037
"4","F1",0.0974,34.4228,"Lundha","LR2016","F14","NP",6.75,45,36,4.235,3.31079227960355,4.33896296296296
"5","F1",0.0974,34.4228,"Lundha","LR2016","F15","NPK",6.75,35,30,3.92,2.96965669339443,3.348
"6","F2",0.09003,34.38903,"Sirembe","LR2016","F21","Control",6.75,17,12,0.743,0.609292374727669,0.622222222222222
"7","F2",0.09003,34.38903,"Sirembe","LR2016","F22","PK",6.75,25,16,0.907,0.768438870553722,2.13222222222222
"8","F2",0.09003,34.38903,"Sirembe","LR2016","F23","NK",6.75,35,32,3.845,2.65151342111342,6.99481481481481
"9","F2",0.09003,34.38903,"Sirembe","LR2016","F24","NP",6.75,44,34,4.568,3.76366286868687,4.28740740740741
"10","F2",0.09003,34.38903,"Sirembe","LR2016","F25","NPK",6.75,41,34,4.507,3.83645237311385,7.4037037037037
"11","F3",0.09766,34.40264,"Sirembe","LR2016","F31","Control",6.75,32,22,1.319,0.786887865319865,1.53688888888889
"12","F3",0.09766,34.40264,"Sirembe","LR2016","F32","PK",6.75,39,31,2.708,2.10446421972534,3.016
"13","F3",0.09766,34.40264,"Sirembe","LR2016","F33","NK",6.75,33,32,3.639,1.98010734177215,2.60562962962963
"14","F3",0.09766,34.40264,"Sirembe","LR2016","F34","NP",6.75,24,22,3.113,2.23131727820844,3.26
"15","F3",0.09766,34.40264,"Sirembe","LR2016","F35","NPK",6.75,36,26,2.671,1.92487868312757,4.69
"16","F4",0.09717,34.41979,"Lundha","LR2016","F41","Control",6.75,32,23,1.911,1.44818135774218,0.929777777777778
"17","F4",0.09717,34.41979,"Lundha","LR2016","F42","PK",6.75,35,22,0.808,0.618779478737997,0.601111111111111
"18","F4",0.09717,34.41979,"Lundha","LR2016","F43","NK",6.75,36,27,3.322,2.0479726090535,1.63148148148148
"19","F4",0.09717,34.41979,"Lundha","LR2016","F44","NP",6.75,35,27,4.215,2.98875812818807,4.12577777777778
"20","F4",0.09717,34.41979,"Lundha","LR2016","F45","NPK",6.75,38,32,6.114,4.28048160535117,5.05422222222222
"21","F5",0.16301,34.39183,"Yiro East","LR2016","F51","Control",6.75,39,20,0.796,0.500666311111111,1.114
"22","F5",0.16301,34.39183,"Yiro East","LR2016","F52","PK",6.75,31,19,0.984,0.672786531986532,1.02607407407407
"23","F5",0.16301,34.39183,"Yiro East","LR2016","F53","NK",6.75,19,6,0.282,0.129112152152152,0.321481481481481
"24","F5",0.16301,34.39183,"Yiro East","LR2016","F54","NP",6.75,30,30,5.007,3.52502072222222,3.87081481481481
