,Season,Farm.CODE,PLOTCODE,TREATMENT,NEW.TREATMENT,PLANT.COUNT,NO..OF.COBS,yield.t.ha,stov.t.ha,COMMENTS
1,LR2018,F1,F1P1,Control,NPK,36,35,4.740262683,3.928296296,Good performance
2,LR2018,F1,F1P2,PK,NPK,34,29,5.707903866,3.242814815,Good performance
3,LR2018,F1,F1P3,NK,NPK,35,31,4.909527342,4.862296296,Good performance
4,LR2018,F1,F1P4,NP,NPK,33,32,6.012953005,4.640925926,Good performance
5,LR2018,F1,F1P5,NPK,NPK,36,32,5.589381708,3.587814815,Good performance
6,LR2018,F4,F4P1,Control,NPK,39,40,7.220592593,3.767296296,Good performance
7,LR2018,F4,F4P2,PK,NPK,36,34,6.098923236,3.888888889,Good performance
8,LR2018,F4,F4P3,NK,NPK,34,31,5.59708704,3.565888889,Good performance
9,LR2018,F4,F4P4,NP,NPK,36,32,5.720588534,4.056666667,Good performance
10,LR2018,F4,F4P5,NPK,NPK,32,34,6.06716325,4.145185185,Good performance
11,LR2018,F7,F7P1,Control,NPK,33,32,5.891008547,4.424,Good performance
12,LR2018,F7,F7P2,PK,NPK,38,29,4.749734699,3.222592593,Good performance
13,LR2018,F7,F7P3,NK,NPK,35,32,5.961335085,3.861185185,Good performance
14,LR2018,F7,F7P4,NP,NPK,35,32,6.097754463,5.043111111,Good performance
15,LR2018,F7,F7P5,NPK,NPK,34,32,5.213082228,5.74,Good performance
16,LR2018,F9,F9P1,Control,NPK,32,27,3.854668026,3.656,Good performance
17,LR2018,F9,F9P2,PK,NPK,35,33,5.811704032,4.625555556,Good performance
18,LR2018,F9,F9P3,NK,NPK,36,43,8.01242596,5.601185185,Good performance
19,LR2018,F9,F9P4,NP,NPK,35,33,4.634144621,3.34237037,Good performance
20,LR2018,F9,F9P5,NPK,NPK,37,40,5.045124306,4.569703704,Good performance
21,LR2018,F10,F10P1,Control,NPK,35,30,4.942452926,3.899259259,Good performance
22,LR2018,F10,F10P2,PK,NPK,31,29,5.253371349,4.221777778,Good performance
23,LR2018,F10,F10P3,NK,NPK,37,27,4.297260323,4.523703704,Good performance
24,LR2018,F10,F10P4,NP,NPK,33,26,4.338594499,5.043333333,Good performance
25,LR2018,F10,F10P5,NPK,NPK,38,35,5.495708561,5.287666667,Good performance
26,LR2018,F11,F11P1,Control,NPK,NA,NA,NA,NA,Field destroyed by cattle
27,LR2018,F11,F11P2,PK,NPK,NA,NA,NA,NA,Field destroyed by cattle
28,LR2018,F11,F11P3,NK,NPK,NA,NA,NA,NA,Field destroyed by cattle
29,LR2018,F11,F11P4,NP,NPK,NA,NA,NA,NA,Field destroyed by cattle
30,LR2018,F11,F11P5,NPK,NPK,NA,NA,NA,NA,Field destroyed by cattle
31,LR2018,F12,F12P1,Control,NPK,23,21,3.521352584,2.883592593,Good perfomrance but some missing plants due to termites
32,LR2018,F12,F12P2,PK,NPK,34,31,3.459764977,3.302851852,Good perfomrance but some missing plants due to termites
33,LR2018,F12,F12P3,NK,NPK,36,35,4.95304288,3.878518519,Good performance
34,LR2018,F12,F12P4,NP,NPK,30,27,3.15491093,3.262518519,Average performance with termite damage
35,LR2018,F12,F12P5,NPK,NPK,28,24,3.782511093,2.798703704,Average performance with termite damage
36,LR2018,F14,F14P1,Control,NPK,36,32,4.116099773,3.368888889,Plot OK with good performance
37,LR2018,F14,F14P2,PK,NPK,32,28,5.449350522,5.455185185,Plot OK with good performance
38,LR2018,F14,F14P3,NK,NPK,33,32,5.451241258,4.961481481,Plot OK with good performance
39,LR2018,F14,F14P4,NP,NPK,32,29,5.699027027,5.355777778,Plot OK with good performance
40,LR2018,F14,F14P5,NPK,NPK,24,23,4.017141038,4.791111111,Good performance but some missing plants. Possible effect of shade
41,LR2018,F18,F18P1,Control,NPK,34,29,5.434363786,4.30637037,Plot OK with good performance
42,LR2018,F18,F18P2,PK,NPK,28,26,5.127901235,3.525,Plot OK with good performance
43,LR2018,F18,F18P3,NK,NPK,34,35,6.526841695,6.407111111,Plot OK with good performance
44,LR2018,F18,F18P4,NP,NPK,32,27,5.298962963,4.842755556,Plot OK with good performance
45,LR2018,F18,F18P5,NPK,NPK,42,32,4.57721679,3.850666667,Plot OK with good performance
46,LR2018,F19,F19P1,Control,NPK,35,28,3.364210108,2.137259259,Plot OK with average performance
47,LR2018,F19,F19P2,PK,NPK,35,29,2.777396825,3.295259259,Plot OK with average performance
48,LR2018,F19,F19P3,NK,NPK,37,30,4.174486998,3.657,Plot OK with average performance
49,LR2018,F19,F19P4,NP,NPK,36,29,4.515013314,3.508148148,Plot OK with average performance
50,LR2018,F19,F19P5,NPK,NPK,26,24,3.908992908,3.135,Plot OK with average performance
