"","Season","Farm.CODE","PLOT.CODE","TREATMENT","NEW.TREATMENT","PLANT.COUNT","NO..OF.COBS","yield.t.ha","stov.t.ha","Comments"
"1","LR2018","F17","F17P1/SS1","Control","PK",34,18,1.57286976090014,1.34337037037037,"some lodging"
"2","LR2018","F17","F17P1/SS2","Control","NK",37,30,3.03680651731161,2.87503703703704,""
"3","LR2018","F17","F17P1/SS3","Control","NP",43,28,2.97698931145911,3.66592592592593,"Not well thinned"
"4","LR2018","F17","F17P1/SS4","Control","NPK",38,40,6.38378308874913,5.08733333333333,"Good crop"
"5","LR2018","F17","F17P2/SS1","PK","PK",37,32,4.70315343915344,3.28888888888889,"Good crop"
"6","LR2018","F17","F17P2/SS2","PK","NK",39,41,5.07065060240964,3.83195555555556,"Good crop"
"7","LR2018","F17","F17P2/SS3","PK","NP",39,44,5.88538293950059,4.61677777777778,"Good crop"
"8","LR2018","F17","F17P2/SS4","PK","NPK",37,37,6.11366183574879,4.73244444444444,"Good crop"
"9","LR2018","F17","F17P3/SS1","NK","PK",27,16,1.78874955365622,2.10861851851852,"poor performance"
"10","LR2018","F17","F17P3/SS2","NK","NK",23,0,NA,0.435555555555556,"poor performance"
"11","LR2018","F17","F17P3/SS3","NK","NP",27,12,1.25698375298375,1.63103703703704,"average performance"
"12","LR2018","F17","F17P3/SS4","NK","NPK",34,20,1.9189826687932,2.09,"average performance"
"13","LR2018","F17","F17P4/SS1","NP","PK",35,20,2.60879477124183,2.47488888888889,"average performance"
"14","LR2018","F17","F17P4/SS2","NP","NK",38,26,1.64589743589744,1.86388888888889,"poor performance"
"15","LR2018","F17","F17P4/SS3","NP","NP",0,0,NA,NA,"poor performance"
"16","LR2018","F17","F17P4/SS4","NP","NPK",36,31,3.10873349190169,2.63407407407407,""
"17","LR2018","F17","F17P5/SS1","NPK","PK",36,27,3.52746900072939,3.61731851851852,""
"18","LR2018","F17","F17P5/SS2","NPK","NK",31,15,0.905277578653923,1.26563888888889,""
"19","LR2018","F17","F17P5/SS3","NPK","NP",34,31,3.5963996948894,2.42933333333333,""
"20","LR2018","F17","F17P5/SS4","NPK","NPK",37,40,5.64141479099678,4.76767407407408,""
