NO,COMPONENT,LAB,ANALYSIS DATE,SEASON,YEAR,FARM.CODE,TRIAL TYPE,PLOT NO,PLOTCODE,TREATMENT,NEW TREATMENT,N,S,CA,MG,MN,B,CU,MO,FE,ZN,P,K
1,GRAIN,YARA,Oct (2017),LR2016,2016,F1,NOT,P1,F11,Control,,1.48,0.08,0.02,0.09,11.3,1.3,8.5,0.19,117.3,22.9,0.16,0.31
2,GRAIN,YARA,Oct (2017),LR2016,2016,F1,NOT,P2,F12,PK,,1.04,0.09,0.02,0.1,5.1,1.1,4.1,0.08,27,22.6,0.22,0.32
3,GRAIN,YARA,Oct (2017),LR2016,2016,F1,NOT,P3,F13,NK,,1.53,0.06,0.02,0.1,4.7,1.1,5.9,1.33,27.7,25.6,0.25,0.33
4,GRAIN,YARA,Oct (2017),LR2016,2016,F1,NOT,P4,F14,NP,,1.77,0.15,0.01,0.1,5.1,1,5.7,0.12,30.5,21.6,0.2,0.25
5,GRAIN,YARA,Oct (2017),LR2016,2016,F1,NOT,P5,F15,NPK,,1.69,0.1,0.01,0.12,6.4,1.1,5,0.24,39.3,29.1,0.26,0.31
6,GRAIN,YARA,Oct (2017),LR2016,2016,F2,NOT,P1,F21,Control,,0.94,0.09,0.02,0.1,5.9,1.3,3.5,0.17,28.6,23.5,0.27,0.35
7,GRAIN,YARA,Oct (2017),LR2016,2016,F2,NOT,P2,F22,PK,,0.86,0.12,0.02,0.09,4.9,0.9,26.8,0.13,23.2,22.4,0.24,0.29
8,GRAIN,YARA,Oct (2017),LR2016,2016,F2,NOT,P3,F23,NK,,1.25,0.08,0.02,0.09,6.8,1,17.4,0.15,27.2,21.4,0.17,0.26
9,GRAIN,YARA,Oct (2017),LR2016,2016,F2,NOT,P4,F24,NP,,1.42,0.1,0.01,0.12,7.9,1.2,6.9,0.11,49.8,26,0.2,0.27
10,GRAIN,YARA,Oct (2017),LR2016,2016,F2,NOT,P5,F25,NPK,,1.59,0.09,0.01,0.09,5.2,1,4.7,0.14,33.7,21.6,0.22,0.28
11,GRAIN,YARA,Oct (2017),LR2016,2016,F3,NOT,P1,F31,Control,,1.31,0.12,0.02,0.08,6.8,1.2,3.7,0.01,27.2,21.6,0.15,0.32
12,GRAIN,YARA,Oct (2017),LR2016,2016,F3,NOT,P2,F32,PK,,0.78,0.07,0.01,0.07,6.5,1.1,3,0.02,47.1,18.4,0.17,0.33
13,GRAIN,YARA,Oct (2017),LR2016,2016,F3,NOT,P3,F33,NK,,1.37,0.21,0.01,0.07,24.8,2,48.7,3.87,2379.1,20.1,0.1,0.26
14,GRAIN,YARA,Oct (2017),LR2016,2016,F3,NOT,P4,F34,NP,,1.39,0.1,0.01,0.08,6.2,0.9,6.7,0.02,25.3,18.8,0.15,0.22
15,GRAIN,YARA,Oct (2017),LR2016,2016,F3,NOT,P5,F35,NPK,,1.43,0.1,0.02,0.08,7.4,0.7,6.3,0.03,33,21.6,0.15,0.23
16,GRAIN,YARA,Oct (2017),LR2016,2016,F4,NOT,P1,F41,Control,,0.96,0.09,0.02,0.08,4.8,1.1,5,0.12,26.2,18.8,0.21,0.27
17,GRAIN,YARA,Oct (2017),LR2016,2016,F4,NOT,P2,F42,PK,,1.02,0.08,0.01,0.09,5.1,1.1,3.9,0.06,25.2,24.6,0.24,0.3
18,GRAIN,YARA,Oct (2017),LR2016,2016,F4,NOT,P3,F43,NK,,1.56,0.08,0.02,0.07,4.6,1.1,2.8,0.22,18.4,19.6,0.13,0.24
19,GRAIN,YARA,Oct (2017),LR2016,2016,F4,NOT,P4,F44,NP,,1.37,0.06,0.01,0.09,6.2,0.7,2.8,0.18,22.1,22.2,0.2,0.25
20,GRAIN,YARA,Oct (2017),LR2016,2016,F4,NOT,P5,F45,NPK,,1.51,0.11,0.01,0.09,5.9,0.9,3.5,0.07,22.4,21.8,0.19,0.25
21,GRAIN,YARA,Oct (2017),LR2016,2016,F5,NOT,P1,F51,Control,,1.36,0.11,0.02,0.08,6.2,1.2,3.9,0.03,26.3,16.6,0.12,0.3
22,GRAIN,YARA,Oct (2017),LR2016,2016,F5,NOT,P2,F52,PK,,1.1,0.1,0.02,0.08,7,1.1,8,0.01,24.2,17.2,0.16,0.31
23,GRAIN,YARA,Oct (2017),LR2016,2016,F5,NOT,P3,F53,NK,,1.69,0.09,0.01,0.09,25.5,1.3,4.6,0.03,32.7,29.7,0.14,0.41
24,GRAIN,YARA,Oct (2017),LR2016,2016,F5,NOT,P4,F54,NP,,1.54,0.07,0.01,0.09,6,1.1,8.7,0.09,20,18.4,0.15,0.21
25,GRAIN,YARA,Oct (2017),LR2016,2016,F5,NOT,P5,F55,NPK,,1.58,0.06,0.01,0.08,8.2,1.1,4.7,0.09,21,19,0.17,0.32
26,GRAIN,YARA,Oct (2017),LR2016,2016,F6,NOT,P1,F61,Control,,0.99,0.08,0.02,0.09,5.4,1,3.5,0.05,33.4,22.9,0.19,0.29
27,GRAIN,YARA,Oct (2017),LR2016,2016,F6,NOT,P2,F62,PK,,0.85,0.07,0.02,0.09,5.7,1.6,3.2,0.05,18.6,21.3,0.24,0.32
28,GRAIN,YARA,Oct (2017),LR2016,2016,F6,NOT,P3,F63,NK,,1.43,0.08,0.02,0.07,5.1,1.4,4.1,0.04,30.1,19.8,0.12,0.32
29,GRAIN,YARA,Oct (2017),LR2016,2016,F6,NOT,P4,F64,NP,,1.46,0.07,0.02,0.1,6.4,0.9,9.8,0.07,34.2,21.6,0.24,0.26
30,GRAIN,YARA,Oct (2017),LR2016,2016,F6,NOT,P5,F65,NPK,,1.53,0.07,0.02,0.07,5.3,0.7,4.6,0.13,25.9,21.1,0.16,0.24
31,GRAIN,YARA,Oct (2017),LR2016,2016,F7,NOT,P1,F71,Control,,1.01,0.08,0.02,0.07,5.3,1.6,21.2,0.08,35.7,17.1,0.12,0.31
32,GRAIN,YARA,Oct (2017),LR2016,2016,F7,NOT,P2,F72,PK,,0.91,0.07,0.02,0.07,4.9,0.9,3.2,0.1,22.1,17.4,0.16,0.28
33,GRAIN,YARA,Oct (2017),LR2016,2016,F7,NOT,P3,F73,NK,,1.45,0.08,0.02,0.08,7.1,1.4,16.6,0.04,30.9,28.6,0.16,0.31
