NO,LATITUDE,LONGITUDE,SUB.LOCATION,SEASON,YEAR,FARMCODE,TRIALTYPE,PLOTCODE,SUBPLOTCODE,TREATMENT,NEWTREATMENT,HARVESTAREA$M2.plot-1,PLANTCOUNT$#.plot,COBS.#.plot-1,COBFW$Kg.plot-1,yield$t.AIRDRY.ha-1,COMMENTS
1,0.0974,34.4228,Lundha,LR2013,2013,F1,NOT,P1,,Control,,6.75,30,12,0.761,0.74,
2,0.0974,34.4228,Lundha,LR2013,2013,F1,NOT,P2,,PK,,6.75,35,30,3.923,3.64,
3,0.0974,34.4228,Lundha,LR2013,2013,F1,NOT,P3,,NK,,6.75,36,29,5.399,5.27,
4,0.0974,34.4228,Lundha,LR2013,2013,F1,NOT,P4,,NP,,6.75,35,30,4.988,4.91,
5,0.0974,34.4228,Lundha,LR2013,2013,F1,NOT,P5,,NPK,,6.75,35,37,6.309,6.39,
6,0.09003,34.38903,Sirembe,LR2013,2013,F2,NOT,P1,,Control,,6.75,20,14,1.69,1.55,
7,0.09003,34.38903,Sirembe,LR2013,2013,F2,NOT,P2,,PK,,6.75,19,16,1.552,1.45,
8,0.09003,34.38903,Sirembe,LR2013,2013,F2,NOT,P3,,NK,,6.75,31,32,5.474,5.15,
9,0.09003,34.38903,Sirembe,LR2013,2013,F2,NOT,P4,,NP,,6.75,24,19,3.349,3.36,
10,0.09003,34.38903,Sirembe,LR2013,2013,F2,NOT,P5,,NPK,,6.75,31,29,4.723,4.78,
11,0.09766,34.40264,Sirembe,LR2013,2013,F3,NOT,P1,,Control,,6.75,31,25,1.355,1.29,
12,0.09766,34.40264,Sirembe,LR2013,2013,F3,NOT,P2,,PK,,6.75,35,23,2.44,2.24,
13,0.09766,34.40264,Sirembe,LR2013,2013,F3,NOT,P3,,NK,,6.75,33,29,4.319,4.37,
14,0.09766,34.40264,Sirembe,LR2013,2013,F3,NOT,P4,,NP,,6.75,27,22,3.525,3.35,
15,0.09766,34.40264,Sirembe,LR2013,2013,F3,NOT,P5,,NPK,,6.75,32,32,5.606,5.58,
16,0.09717,34.41979,Lundha,LR2013,2013,F4,NOT,P1,,Control,,6.75,35,28,3.091,2.9,
17,0.09717,34.41979,Lundha,LR2013,2013,F4,NOT,P2,,PK,,6.75,34,31,4.038,3.92,
18,0.09717,34.41979,Lundha,LR2013,2013,F4,NOT,P3,,NK,,6.75,29,25,4.954,4.6,
19,0.09717,34.41979,Lundha,LR2013,2013,F4,NOT,P4,,NP,,6.75,35,34,6.346,6.09,
20,0.09717,34.41979,Lundha,LR2013,2013,F4,NOT,P5,,NPK,,6.75,35,45,7.979,7.58,
21,0.16301,34.39183,Yiro East,LR2013,2013,F5,NOT,P1,,Control,,6.75,31,27,4.307,3.94,
22,0.16301,34.39183,Yiro East,LR2013,2013,F5,NOT,P2,,PK,,6.75,29,28,3.615,3.22,
23,0.16301,34.39183,Yiro East,LR2013,2013,F5,NOT,P3,,NK,,6.75,39,34,6.983,6.4,
24,0.16301,34.39183,Yiro East,LR2013,2013,F5,NOT,P4,,NP,,6.75,36,33,7.57,7.25,
25,0.16301,34.39183,Yiro East,LR2013,2013,F5,NOT,P5,,NPK,,6.75,35,23,4.944,4.56,
26,0.09649,34.41325,Asayi,LR2013,2013,F6,NOT,P1,,Control,,6.75,24,23,1.46,1.35,
27,0.09649,34.41325,Asayi,LR2013,2013,F6,NOT,P2,,PK,,6.75,33,30,2.088,1.87,
28,0.09649,34.41325,Asayi,LR2013,2013,F6,NOT,P3,,NK,,6.75,31,28,4.83,4.22,
29,0.09649,34.41325,Asayi,LR2013,2013,F6,NOT,P4,,NP,,6.75,28,27,3.451,3.46,
30,0.09649,34.41325,Asayi,LR2013,2013,F6,NOT,P5,,NPK,,6.75,29,28,4.35,4.18,
31,0.15438,34.39875,Yiro East,LR2013,2013,F7,NOT,P1,,Control,,6.75,31,29,4.551,4.11,
32,0.15438,34.39875,Yiro East,LR2013,2013,F7,NOT,P2,,PK,,6.75,27,25,4.026,3.54,
33,0.15438,34.39875,Yiro East,LR2013,2013,F7,NOT,P3,,NK,,6.75,32,32,9.292,8.85,
34,0.15438,34.39875,Yiro East,LR2013,2013,F7,NOT,P4,,NP,,6.75,35,23,5.482,5.26,
