,initVal,optValues,parName
1,0.61618865,0.757072664,r_labile_P
2,0.23771743,0.285162027,r_labile_K
3,0.08918216,0.105761501,CropQUEFTS_Dry.rur_P-potato
4,0.12476155,0.165293588,CropQUEFTS_Dry.rur_P-wheat
5,0.404854841,0.18,CropQUEFTS_Dry.rur_P-beans
6,0.0917839,0.108631095,CropQUEFTS_Dry.rur_P-oats
7,0.02788804,0.04144311,CropQUEFTS_Dry.rur_P-silage maize
8,0.22833579,0.202056649,CropQUEFTS_Dry.rur_K-potato
9,0.08952241,0.068938825,CropQUEFTS_Dry.rur_K-wheat
10,0.07583775,0.066118528,CropQUEFTS_Dry.rur_K-beans
11,0.08256355,0.054323083,CropQUEFTS_Dry.rur_K-oats
12,0.04656593,0.043513213,CropQUEFTS_Dry.rur_K-silage maize
