"","Year","section","plot","Crop","Yield.t.ha","Yield.tDM.ha","Straw.t.ha","Straw.tDM.ha","N.offtake.kg.ha","P.offtake.kg.ha","K.offtake.kg.ha","Grain.N.offtake.kg.ha","Grain.P.offtake.kg.ha","Grain.K.offtake.kg.ha","Straw.N.offtake.kg.ha","Straw.P.offtake.kg.ha","Straw.K.offtake.kg.ha","Trt","Treatment","N.rate.kg.ha","P.rate.kg.ha","K.rate.kg.ha","FYM.tFM.ha","FYMN.rate.kg.ha","FYMP.rate.kg.ha","FYMK.rate.kg.ha"
"1",1968,2,1,"beans",3.2,2.2592,1.41,0.96021,122.73169,13.7676088,38.91537,110.24896,12.922624,26.43264,12.48273,0.8449848,12.48273,"FYM+NPK","FYM N2 PK",96,35,90,35,217.00875,46.029375,324.043125
"2",1971,2,1,"beans",1.94,1.552,2.2,0.935,NA,NA,NA,76.824,8.78432,19.89664,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,236.001675,41.936475,343.022925
"3",1974,2,1,"beans",3.09,2.2866,1.79,0.76612,109.710764,15.4161528,43.136428,103.81164,14.542776,29.03982,5.899124,0.8733768,14.096608,"FYM+NPK","FYM N2 PK",96,35,90,35,245.00112,37.4738,307.99587
"4",1977,2,1,"beans",3.17,2.55185,3.73,3.36819,119.690158,NA,NA,95.43919,NA,NA,24.250968,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,287,44.15649,383.8338
"5",1970,4,1,"beans",1.14,0.8892,1.57,0.67981,57.475921,6.4730364,27.6642706,45.17136,5.086224,11.444004,12.304561,1.3868124,16.2202666,"FYM+NPK","FYM N2 PK",96,35,90,35,273.028,55.7375,356.97725
"6",1973,4,1,"beans",4.26,3.55284,2.63,2.28547,180.347322,24.1053134,108.30185,157.035528,21.31704,44.765784,23.311794,2.7882734,63.536066,"FYM+NPK","FYM N2 PK",96,35,90,35,263.9952,28.5768,330.9768
"7",1976,4,1,"beans",0.95,0.79325,NA,NA,NA,NA,NA,39.265875,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,189,43.64885,466.42225
"8",1969,7,1,"beans",2.61,2.12454,2.19,1.50015,109.81923,14.0474238,51.7524552,92.41749,12.5772768,24.3897192,17.40174,1.470147,27.362736,"FYM+NPK","FYM N2 PK",96,35,90,35,221.99492,46.1888,302.03145
"9",1972,7,1,"beans",3.39,2.75607,3.26,1.24206,149.121672,17.7311514,61.0786068,136.701072,16.812027,37.7030376,12.4206,0.9191244,23.3755692,"FYM+NPK","FYM N2 PK",96,35,90,35,300.993525,46.404225,365.99325
"10",1975,7,1,"beans",0.91,0.7917,0.47,0.42441,33.217065,4.0961046,21.021504,29.60958,3.815994,9.81708,3.607485,0.2801106,11.204424,"FYM+NPK","FYM N2 PK",96,35,90,35,228.01996,39.92814,269.0044
"11",1978,7,1,"beans",2.64,2.1648,2.33,2.07603,108.390315,NA,NA,86.592,NA,NA,21.798315,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,283.5,44.10994,370.9048
"12",2018,7,1,"beans",4.84,4.235,3.28,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",0,0,0,0,0,0,0
"13",1968,2,10,"beans",0.76,0.513,0.68,0.53448,34.915584,2.988768,7.706244,26.4708,2.40084,4.8735,8.444784,0.587928,2.832744,"N","N2",96,0,0,0,0,0,0
"14",1971,2,10,"beans",1.53,1.24236,0.68,0.30668,NA,NA,NA,64.975428,4.8203568,13.2559812,NA,NA,NA,"N","N2",96,0,0,0,0,0,0
"15",1974,2,10,"beans",2.22,1.4763,0.67,0.23048,77.98853,7.339768,15.546018,76.02945,7.08624,14.02485,1.95908,0.253528,1.521168,"N","N2",96,0,0,0,0,0,0
"16",1977,2,10,"beans",1.41,1.14633,0.36,0.32436,59.164965,NA,NA,55.597005,NA,NA,3.56796,NA,NA,"N","N2",96,0,0,0,0,0,0
"17",1970,4,10,"beans",0.59,0.43306,0.24,0.11592,24.755064,2.0198092,5.5749464,22.865568,1.862158,4.1920208,1.889496,0.1576512,1.3829256,"N","N2",96,0,0,0,0,0,0
"18",1973,4,10,"beans",2.39,1.96936,0.68,0.58684,113.111016,9.0542944,23.524976,105.951568,8.3500864,19.299728,7.159448,0.704208,4.225248,"N","N2",96,0,0,0,0,0,0
"19",1976,4,10,"beans",0.32,0.25504,NA,NA,NA,NA,NA,12.165408,NA,NA,NA,NA,NA,"N","N2",96,0,0,0,0,0,0
"20",1969,7,10,"beans",2.01,1.6281,1.1,0.825,93.74277,8.345946,20.848872,84.17277,7.586946,16.476372,9.57,0.759,4.3725,"N","N2",96,0,0,0,0,0,0
"21",1972,7,10,"beans",2.83,2.32626,1.16,0.3712,129.33004,8.132004,25.8714398,125.61804,7.909284,24.7281438,3.712,0.22272,1.143296,"N","N2",96,0,0,0,0,0,0
"22",1975,7,10,"beans",0.8,0.6952,0.39,0.35217,37.063729,2.887365,7.624779,33.64768,2.71128,6.67392,3.416049,0.176085,0.950859,"N","N2",96,0,0,0,0,0,0
"23",1978,7,10,"beans",1.56,1.25424,0.57,0.51015,69.633132,NA,NA,63.715392,NA,NA,5.91774,NA,NA,"N","N2",96,0,0,0,0,0,0
"24",2018,7,10,"beans",0.94,0.81404,0.35,0.2961,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N4",0,0,0,0,0,0,0
"25",1968,2,11,"beans",0.5,0.3475,0.65,0.48815,26.11868,3.501134,8.210055,17.7225,2.3491,3.475,8.39618,1.152034,4.735055,"NP","N2 P",96,35,0,0,0,0,0
"26",1971,2,11,"beans",0.49,0.35378,1.84,1.02304,NA,NA,NA,17.689,2.1722092,4.2382844,NA,NA,NA,"NP","N2 P",96,35,0,0,0,0,0
