"","Year","section","plot","Crop","Yield.t.ha","Yield.tDM.ha","Straw.t.ha","Straw.tDM.ha","N.offtake.kg.ha","P.offtake.kg.ha","K.offtake.kg.ha","Grain.N.offtake.kg.ha","Grain.P.offtake.kg.ha","Grain.K.offtake.kg.ha","Straw.N.offtake.kg.ha","Straw.P.offtake.kg.ha","Straw.K.offtake.kg.ha","Trt","Treatment","N.rate.kg.ha","P.rate.kg.ha","K.rate.kg.ha","FYM.tFM.ha","FYMN.rate.kg.ha","FYMP.rate.kg.ha","FYMK.rate.kg.ha"
"1",1998,2,1,"maize",15.38,3.98342,NA,NA,46.4865114,7.96684,65.925601,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,283.5,37.49088,328.0452
"2",2003,2,1,"maize",8.57,2.2282,NA,NA,25.6243,4.01076,32.041516,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"3",2008,2,1,"maize",13.6,3.876,NA,NA,47.01588,6.70548,66.58968,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"4",2013,2,1,"maize",3.51,1.07757,NA,NA,13.2217839,1.9504017,11.6916345,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"5",1997,3,1,"maize",16.36,6.00412,NA,NA,68.446968,11.9481988,85.4986688,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,322,37.78264,374.262
"6",2002,3,1,"maize",10.65,2.86485,NA,NA,33.3755025,7.162125,30.2241675,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"7",2007,3,1,"maize",14.74,3.93558,NA,NA,44.1572076,8.264718,49.6670196,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"8",2012,3,1,"maize",14.32,3.98096,NA,NA,46.0995168,6.5287744,59.6745904,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"9",2017,3,1,"maize",11.02,3.0305,NA,NA,42.12395,5.87917,30.12317,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"10",2000,4,1,"maize",12.8,3.1872,NA,NA,37.003392,6.53376,43.792128,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,295.75,40.89792,308.238
"11",2005,4,1,"maize",20.09,6.38862,NA,NA,64.525062,9.1996128,77.1745296,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"12",2010,4,1,"maize",14.37,4.29663,NA,NA,51.1728633,5.4996864,77.6830704,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"13",2015,4,1,"maize",14.31,3.5775,NA,NA,50.2281,7.8705,32.447925,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"14",2001,5,1,"maize",13.67,3.51319,NA,NA,47.4983288,9.0640302,53.2248285,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"15",2006,5,1,"maize",13.03,4.70383,NA,NA,46.8971851,8.9843153,55.6933472,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"16",2011,5,1,"maize",8.67,1.68198,NA,NA,23.3963418,4.3899678,25.2801594,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
