"","Year","section","plot","Crop","Yield.t.ha","Yield.tDM.ha","Straw.t.ha","Straw.tDM.ha","N.offtake.kg.ha","P.offtake.kg.ha","K.offtake.kg.ha","Grain.N.offtake.kg.ha","Grain.P.offtake.kg.ha","Grain.K.offtake.kg.ha","Straw.N.offtake.kg.ha","Straw.P.offtake.kg.ha","Straw.K.offtake.kg.ha","Trt","Treatment","N.rate.kg.ha","P.rate.kg.ha","K.rate.kg.ha","FYM.tFM.ha","FYMN.rate.kg.ha","FYMP.rate.kg.ha","FYMK.rate.kg.ha"
"1",1997,2,1,"oats",7.53,6.6152556,6.18,4.0305342,132.244424916,29.77090365,123.378179046,114.510074436,24.410293164,35.39161746,17.73435048,5.360610486,87.986561586,"FYM+NPK","FYM N4 PK",192,35,90,35,322,37.78264,374.262
"2",2002,2,1,"oats",6.44,5.5315092,3.66,2.3888454,62.3608068,20.520940914,74.017917942,56.532024024,17.534884164,23.398283916,5.828782776,2.98605675,50.619634026,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"3",2007,2,1,"oats",5.1,4.443528,2.57,2.1528119,65.71747761,15.625818481,59.826802659,57.3215112,13.06397232,18.04072368,8.39596641,2.561846161,41.786078979,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"4",2012,2,1,"oats",5.66,4.88741,2.99,2.2561643,81.478294489,20.696987051,78.363014066,74.1908838,17.1548091,25.0724133,7.287410689,3.542177951,53.290600766,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"5",2017,2,1,"oats",6.69,5.8704081,4.81,4.2092791,88.460286058,18.886265637,53.755382185,74.906407356,16.613254923,21.13346916,13.553878702,2.273010714,32.621913025,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"6",1996,3,1,"oats",8.31,7.4278935,4.1,2.457786,115.24491369,24.32909643,121.992019725,110.37849741,23.02646985,41.819040405,4.86641628,1.30262658,80.17297932,"FYM+NPK","FYM N4 PK",192,35,90,35,287,66.4664,397.8688
"7",2001,3,1,"oats",3.79,3.2603475,2.12,1.3635416,57.847411063,15.2468176,49.721130747,51.806921775,12.5197344,14.378132475,6.040489288,2.7270832,35.342998272,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"8",2006,3,1,"oats",6.97,6.3300843,3.05,2.3467005,85.975415685,21.462954381,82.87829271,82.2910959,19.749863016,32.28342993,3.684319785,1.713091365,50.59486278,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"9",2011,3,1,"oats",7.02,6.1933248,2.75,1.8692025,81.714605244,18.021200019,53.591919726,77.602359744,17.217442944,25.516498176,4.1122455,0.803757075,28.07542155,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"10",2016,3,1,"oats",4.12,3.6106444,2.42,1.7025184,49.184145868,13.61320642,44.551979912,44.519245452,10.940252532,16.392325576,4.664900416,2.672953888,28.159654336,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"11",1999,4,1,"oats",3.05,2.480931,1.69,1.3434317,44.979974446,10.091705039,41.739116047,40.4391753,8.38554678,16.20047943,4.540799146,1.706158259,25.538636617,"FYM+NPK","FYM N4 PK",192,35,90,35,294,44.19856,361.1748
"12",2004,4,1,"oats",6.07,5.1256294,2.8,2.555476,69.74205648,17.781090476,40.042515464,63.55780456,16.094476316,17.222114784,6.18425192,1.68661416,22.82040068,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"13",2009,4,1,"oats",4.24,3.5480744,1.98,1.4587848,51.279176632,13.221082624,31.997011376,46.47977464,11.35383808,13.66008644,4.799401992,1.867244544,18.336924936,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"14",2014,4,1,"oats",4.86,4.3230186,2.47,1.9060496,55.899760062,16.087907242,59.460395948,52.697596734,13.876889706,21.701553372,3.202163328,2.211017536,37.758842576,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"15",2018,4,1,"oats",3.83,3.3396834,1.76,1.4738416,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","(FYM) N4",96,0,0,0,0,0,0
"16",2000,5,1,"oats",6.64,5.775804,7.13,5.6766208,102.471624752,27.616741344,172.959358776,89.75599416,21.48599088,32.6332926,12.715630592,6.130750464,140.326066176,"FYM+NPK","FYM N4 PK",192,35,90,35,295.75,40.89792,308.238
"17",2005,5,1,"oats",7.44,6.5552352,2.67,2.3989149,81.518070789,21.490282326,71.454448428,76.69625184,20.386781472,27.794197248,4.821818949,1.103500854,43.66025118,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"18",2010,5,1,"oats",6.22,5.3906874,3.29,2.2402597,66.047775157,16.996055846,72.60571045,61.9929051,16.010341578,25.33623078,4.054870057,0.985714268,47.26947967,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"19",2015,5,1,"oats",5.74,4.8737766,3.27,2.6265621,84.896119353,18.034705686,48.910829421,73.155386766,15.985987248,17.155693632,11.740732587,2.048718438,31.755135789,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"20",1998,7,1,"oats",6.22,5.378434,5.22,3.1715154,93.64714021,24.566276092,113.901889076,84.92547286,18.2866756,25.92405188,8.72166735,6.279600492,87.977837196,"FYM+NPK","FYM N4 PK",192,35,90,35,283.5,37.49088,328.0452
"21",2003,7,1,"oats",6.25,5.5746875,3.21,2.8397907,69.81801105,18.62567333,84.713230384,65.558325,16.779809375,24.026903125,4.25968605,1.845863955,60.686327259,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"22",2008,7,1,"oats",5.07,4.2349203,1.6,1.05224,59.04441125,14.011355721,36.73764594,57.17142405,13.001205321,16.09269714,1.8729872,1.0101504,20.6449488,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"23",2013,7,1,"oats",5.22,4.5441666,1.83,1.5007464,78.246516186,15.74612298,45.160173072,72.93387393,14.99574978,19.812566376,5.312642256,0.7503732,25.347606696,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"24",1997,2,10,"oats",2.24,1.9292448,1.04,0.777348,34.025644704,6.924147936,18.031120512,30.636407424,6.115706016,8.951695872,3.38923728,0.80844192,9.07942464,"N","N2",96,0,0,0,0,0,0
"25",2002,2,10,"oats",5.5,4.69964,3.46,2.630638,55.2089919,10.8558783,39.16444418,49.816184,10.1982188,16.7777148,5.3928079,0.6576595,22.38672938,"N","N4",192,0,0,0,0,0,0
"26",2007,2,10,"oats",5.11,4.4382905,2.37,1.9844484,72.832620362,10.117814611,32.60050374,67.01818655,9.542324575,13.84746636,5.814433812,0.575490036,18.75303738,"N","N4",192,0,0,0,0,0,0
"27",2012,2,10,"oats",4.76,4.1408192,2.06,1.546442,62.015615692,10.288153456,39.03725988,57.391754112,9.855149696,18.84072736,4.62386158,0.43300376,20.19653252,"N","N4",192,0,0,0,0,0,0
"28",2017,2,10,"oats",4.52,3.9224108,2.02,1.7840236,72.379472324,8.754429524,15.51429224,66.171070196,8.23706268,10.7866297,6.208402128,0.517366844,4.72766254,"N","N4",192,0,0,0,0,0,0
"29",1996,3,10,"oats",3.41,3.0446526,1.1,0.704814,38.206776894,6.900091572,21.703652322,37.114315194,6.759128772,14.218527642,1.0924617,0.1409628,7.48512468,"N","N2",96,0,0,0,0,0,0
"30",2001,3,10,"oats",1.5,1.292865,0.56,0.4222176,22.929303516,4.227434652,8.610259014,21.3839871,4.0078815,4.43452695,1.545316416,0.219553152,4.175732064,"N","N2",96,0,0,0,0,0,0
"31",2006,3,10,"oats",5.09,4.592198,1.86,1.5227076,66.374473892,8.754426592,40.494877488,63.8315522,8.4955663,21.49148664,2.542921692,0.258860292,19.003390848,"N","N4",192,0,0,0,0,0,0
"32",2011,3,10,"oats",4.61,4.060949,1.7,1.265888,83.34386236,8.49427122,23.18370709,78.45753468,8.20311698,14.33514997,4.88632768,0.29115424,8.84855712,"N","N4",192,0,0,0,0,0,0
"33",2016,3,10,"oats",3.84,3.3066624,2.03,1.4739018,53.235988932,8.243074548,24.40792575,48.60793728,7.506123648,12.631450368,4.628051652,0.7369509,11.776475382,"N","N4",192,0,0,0,0,0,0
"34",1999,4,10,"oats",1.33,1.1449704,0.41,0.3383771,16.541125967,3.687907036,9.823539124,15.766242408,3.457810608,7.075917072,0.774883559,0.230096428,2.747622052,"N","N2",96,0,0,0,0,0,0
"35",2004,4,10,"oats",4.64,3.9917456,1.65,1.5025725,56.183530135,7.690403579,14.922827525,52.29186736,7.344811904,9.979364,3.891662775,0.345591675,4.943463525,"N","N4",192,0,0,0,0,0,0
"36",2009,4,10,"oats",4.86,4.1625414,0.32,0.2500544,70.623346208,8.345970986,13.767471768,69.93069552,8.283457386,12.154620888,0.692650688,0.0625136,1.61285088,"N","N4",192,0,0,0,0,0,0
"37",2014,4,10,"oats",5.42,4.7897624,2.32,1.9263888,70.990700288,10.865487568,47.649684544,66.290311616,10.441682032,22.799269024,4.700388672,0.423805536,24.85041552,"N","N4",192,0,0,0,0,0,0
"38",2018,4,10,"oats",2.86,2.3841818,1.5,0.866085,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","N4",96,0,0,0,0,0,0
"39",2000,5,10,"oats",3.34,2.8801822,1.64,1.3694492,41.185526144,9.610463744,36.145806396,38.652045124,8.870961176,14.919343796,2.53348102,0.739502568,21.2264626,"N","N2",96,0,0,0,0,0,0
"40",2005,5,10,"oats",5.22,4.5265752,1.05,0.911316,75.73939296,11.815861512,26.788330128,72.87786072,11.588032512,17.155720008,2.86153224,0.227829,9.63261012,"N","N4",192,0,0,0,0,0,0
"41",2010,5,10,"oats",5.79,5.0322048,2.69,2.1969499,83.205945663,11.082874308,50.748660108,77.9991744,10.81924032,20.430751488,5.206771263,0.263633988,30.31790862,"N","N4",192,0,0,0,0,0,0
"42",2015,5,10,"oats",4.1,3.454045,2.15,1.5856035,71.25797477,9.185616745,22.700444255,59.65135715,7.8061417,9.8094878,11.60661762,1.379475045,12.890956455,"N","N4",192,0,0,0,0,0,0
"43",1998,7,10,"oats",2.62,2.2877578,1.2,0.845628,30.82588661,7.079732978,21.816293436,28.94013617,6.428599418,10.569441036,1.88575044,0.65113356,11.2468524,"N","N2",96,0,0,0,0,0,0
"44",2003,7,10,"oats",5.59,4.9956153,1.85,1.7225165,73.43535444,10.414982357,35.090650247,70.43817573,10.191055212,19.932505047,2.99717871,0.223927145,15.1581452,"N","N4",192,0,0,0,0,0,0
"45",2008,7,10,"oats",4.52,3.7551708,1.19,0.7899815,71.457187405,7.249316664,21.37360156,69.09514272,7.059721104,11.64102948,2.362044685,0.18959556,9.73257208,"N","N4",192,0,0,0,0,0,0
"46",2013,7,10,"oats",2.37,2.0137416,0.51,0.4390794,42.81226389,4.998013458,9.570246834,40.717855152,4.853117256,8.195928312,2.094408738,0.144896202,1.374318522,"N","N4",192,0,0,0,0,0,0
"47",1997,2,11,"oats",2.44,2.097668,0.98,0.7838138,33.677076344,9.04801435,17.44381945,30.47911604,7.36281468,9.88001628,3.197960304,1.68519967,7.56380317,"NP","N2 P",96,35,0,0,0,0,0
"48",2002,2,11,"oats",5.85,5.051124,2.82,2.0679906,52.380633006,15.016457352,35.646324948,48.84436908,13.94110224,19.14375996,3.536263926,1.075355112,16.502564988,"NP","N4 PMg",192,35,0,0,0,0,0
"49",2007,2,11,"oats",5.31,4.6255941,2.4,2.020776,60.69830445,14.030734251,32.630636499,55.96968861,12.535360011,16.605882819,4.72861584,1.49537424,16.02475368,"NP","N4 PMg",192,35,0,0,0,0,0
"50",2012,2,11,"oats",5.85,5.084235,3.26,2.4517808,76.129557812,18.321820936,40.377291678,69.0439113,16.0661826,24.04843155,7.085646512,2.255638336,16.328860128,"NP","N4 PMg",192,35,0,0,0,0,0
"51",2017,2,11,"oats",5.22,4.5378504,3.08,2.7377812,60.883888336,13.103168896,19.540637996,53.54663472,11.843789544,14.475742776,7.337253616,1.259379352,5.06489522,"NP","N4 PMg",192,35,0,0,0,0,0
"52",1996,3,11,"oats",3.34,2.9897008,0.87,0.5697891,37.922683232,8.695942027,19.357534797,37.102186928,8.37116224,14.440254864,0.820496304,0.324779787,4.917279933,"NP","N2 P",96,35,0,0,0,0,0
"53",2001,3,11,"oats",2.23,1.9260956,0.98,0.6892732,31.446252992,7.904789068,12.926175812,29.392218856,6.760595556,7.088031808,2.054034136,1.144193512,5.838144004,"NP","N2 P",96,35,0,0,0,0,0
"54",2006,3,11,"oats",6.72,6.1237344,2.85,2.2990095,80.63891691,18.425542515,48.521057976,76.54668,17.75882976,29.945061216,4.09223691,0.666712755,18.57599676,"NP","N4 PMg",192,35,0,0,0,0,0
"55",2011,3,11,"oats",6.69,5.9243964,2.11,1.742016,99.395939724,17.644110396,27.745737804,93.664707084,17.121505596,22.571950284,5.73123264,0.5226048,5.17378752,"NP","N4 PMg",192,35,0,0,0,0,0
"56",2016,3,11,"oats",3.81,3.3330642,2.02,1.4052736,44.586985284,10.33428326,25.869472316,41.130012228,8.99927334,14.33217606,3.456973056,1.33500992,11.537296256,"NP","N4 PMg",192,35,0,0,0,0,0
"57",1999,4,11,"oats",1.15,0.976304,0.42,0.3501708,14.192329508,3.680526948,8.971723628,13.45346912,3.2218032,6.30692384,0.738860388,0.458723748,2.664799788,"NP","N2 P",96,35,0,0,0,0,0
"58",2004,4,11,"oats",5.41,4.6515721,2.02,1.8585616,58.922146262,14.074954313,17.374573006,55.35370799,13.443043369,14.047747742,3.568438272,0.631910944,3.326825264,"NP","N4 PMg",192,35,0,0,0,0,0
"59",2009,4,11,"oats",6.24,5.3591616,0.71,0.5791825,72.64371998,15.708066374,20.614707295,71.27684928,15.487977024,18.48910752,1.3668707,0.22008935,2.125599775,"NP","N4 PMg",192,35,0,0,0,0,0
"60",2014,4,11,"oats",5.26,4.6645154,2.42,1.855414,63.532626432,15.090318892,35.897607448,60.545409892,14.366707432,22.482964228,2.98721654,0.72361146,13.41464322,"NP","N4 PMg",192,35,0,0,0,0,0
"61",2018,4,11,"oats",4.25,3.6766325,2.19,1.1310693,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NP","N4 PMg",96,35,0,0,0,0,0
"62",2000,5,11,"oats",3.07,2.6802328,1.46,1.2443142,31.791281656,9.619105966,27.809420134,30.099014344,8.7107566,14.258838496,1.692267312,0.908349366,13.550581638,"NP","N2 P",96,35,0,0,0,0,0
"63",2005,5,11,"oats",5.57,4.9093423,0.99,0.8984349,68.495255253,15.537585023,23.750593336,66.27612105,15.268054553,19.195528393,2.219134203,0.26953047,4.555064943,"NP","N4 PMg",192,35,0,0,0,0,0
"64",2010,5,11,"oats",6.1,5.303523,2.63,2.1119689,68.631242754,17.201230104,44.033268435,64.7029806,16.4409213,23.44157166,3.928262154,0.760308804,20.591696775,"NP","N4 PMg",192,35,0,0,0,0,0
"65",2015,5,11,"oats",3.98,3.385587,2.02,1.6209086,53.35453546,11.659498496,17.951104852,47.19508278,10.42760796,10.86773427,6.15945268,1.231890536,7.083370582,"NP","N4 PMg",192,35,0,0,0,0,0
"66",1998,7,11,"oats",2.28,1.999218,0.89,0.6317131,27.577370637,8.45978744,18.686453091,26.26972452,6.81733338,9.83615256,1.307646117,1.64245406,8.850300531,"NP","N2 P",96,35,0,0,0,0,0
"67",2003,7,11,"oats",4.98,4.453116,1.55,1.4386325,51.00863127,13.888897655,30.054605335,48.85068252,13.27028568,19.19292996,2.15794875,0.618611975,10.861675375,"NP","N4 PMg",192,35,0,0,0,0,0
"68",2008,7,11,"oats",3.39,2.8319043,1.27,0.8080883,42.290187516,8.673276611,17.471942289,40.49623149,8.325798642,10.393088781,1.793956026,0.347477969,7.078853508,"NP","N4 PMg",192,35,0,0,0,0,0
"69",2013,7,11,"oats",3.44,2.9395488,0.97,0.8216385,51.811564584,9.825591795,15.547583757,48.590741664,9.40655616,12.022754592,3.22082292,0.419035635,3.524829165,"NP","N4 PMg",192,35,0,0,0,0,0
"93",1997,2,13,"oats",1.97,1.6999918,0.93,0.7313055,26.840391401,7.615165663,18.991361619,24.258882986,5.881971628,7.955961624,2.581508415,1.733194035,11.035399995,"NPK","N2 PK",96,35,90,0,0,0,0
"94",2002,2,13,"oats",3.9,3.350919,1.58,1.1606522,35.806907632,9.888205526,28.211164182,34.11235542,9.21502725,13.16911167,1.694552212,0.673178276,15.042052512,"NPK","N4 PK",192,35,90,0,0,0,0
"95",2007,2,13,"oats",3.39,2.9630295,1.41,1.1706243,37.757127684,9.371998206,28.826206593,35.556354,8.17796142,10.90394856,2.200773684,1.194036786,17.922258033,"NPK","N4 PK",192,35,90,0,0,0,0
"96",2012,2,13,"oats",3.43,2.9832082,0.91,0.7365085,40.349354479,10.156453069,28.818277789,38.692210354,9.456769994,14.080742704,1.657144125,0.699683075,14.737535085,"NPK","N4 PK",192,35,90,0,0,0,0
"97",2017,2,13,"oats",3.74,3.230238,2.09,1.8438398,39.380542894,9.878265056,21.939932762,34.53124422,8.36631642,11.07971634,4.849298674,1.511948636,10.860216422,"NPK","N4 PK",192,35,90,0,0,0,0
"98",1996,3,13,"oats",2.97,2.6430624,1.02,0.6018306,33.626215812,8.525803776,24.922525734,32.747543136,8.140632192,13.638201984,0.878672676,0.385171584,11.28432375,"NPK","N2 PK",96,35,90,0,0,0,0
"99",2001,3,13,"oats",1.83,1.5804612,0.75,0.519135,25.63232874,6.761845164,15.806790798,24.02301024,5.879315664,5.989947948,1.6093185,0.8825295,9.81684285,"NPK","N2 PK",96,35,90,0,0,0,0
"100",2006,3,13,"oats",3.11,2.8286694,0.63,0.533232,34.73854848,8.986332204,22.404532716,33.9440328,8.655728364,14.539360716,0.79451568,0.33060384,7.865172,"NPK","N4 PK",192,35,90,0,0,0,0
"101",2011,3,13,"oats",4.41,3.8808,1.42,0.985977,51.65352945,11.33950896,28.62746541,49.829472,10.86624,15.484392,1.82405745,0.47326896,13.14307341,"NPK","N4 PK",192,35,90,0,0,0,0
"102",2016,3,13,"oats",2.5,2.198225,1.15,0.8290925,31.829548775,8.4873611,22.308166325,29.56612625,7.14423125,10.04588825,2.263422525,1.34312985,12.262278075,"NPK","N4 PK",192,35,90,0,0,0,0
"103",1999,4,13,"oats",0.68,0.549134,0.21,0.1671789,9.764707437,2.071977571,5.402174785,9.27487326,1.8395989,3.42110482,0.489834177,0.232378671,1.981069965,"NPK","N2 PK",96,35,90,0,0,0,0
"104",2004,4,13,"oats",4.41,3.7635381,1.45,1.3375815,45.33873267,12.372478746,19.559868876,42.90433434,11.516426586,12.457311111,2.43439833,0.85605216,7.102557765,"NPK","N4 PK",192,35,90,0,0,0,0
"105",2009,4,13,"oats",2.89,2.4595634,0.72,0.5864184,34.99752804,8.30472219,14.50522382,33.94197492,7.74762471,8.805236972,1.05555312,0.55709748,5.699986848,"NPK","N4 PK",192,35,90,0,0,0,0
"106",2014,4,13,"oats",2.86,2.5284974,1.03,0.7905868,34.543099404,9.128289722,28.471326034,33.325595732,8.369326394,13.173471454,1.217503672,0.758963328,15.29785458,"NPK","N4 PK",192,35,90,0,0,0,0
"107",2018,4,13,"oats",3.01,2.5590117,0.88,0.476828,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NPK","N4 PK",96,35,90,0,0,0,0
"108",2000,5,13,"oats",2.28,1.9785156,0.98,0.8263262,25.738750422,7.296305576,23.270099086,24.375312192,6.370820232,10.18935534,1.36343823,0.925485344,13.080743746,"NPK","N2 PK",96,35,90,0,0,0,0
"109",2005,5,13,"oats",5.15,4.525305,1.17,1.0460385,60.69863997,13.9943304,34.317098985,58.3764345,13.575915,18.8252688,2.32220547,0.4184154,15.491830185,"NPK","N4 PK",192,35,90,0,0,0,0
"110",2010,5,13,"oats",4.2,3.650556,1.85,1.223923,45.08591582,12.58578518,40.47058866,42.7115052,11.97382368,17.63218548,2.37441062,0.6119615,22.83840318,"NPK","N4 PK",192,35,90,0,0,0,0
"111",2015,5,13,"oats",4.03,3.4354138,1.83,1.4477862,55.515814074,11.784700704,27.589859878,49.98527079,10.409303814,11.577344506,5.530543284,1.37539689,16.012515372,"NPK","N4 PK",192,35,90,0,0,0,0
"112",1998,7,13,"oats",2.12,1.8174548,0.83,0.5703428,25.872752588,7.322542556,19.702417772,24.481116156,6.124822676,9.105448548,1.391636432,1.19771988,10.596969224,"NPK","N2 PK",96,35,90,0,0,0,0
"113",2003,7,13,"oats",3.34,2.9826868,0.82,0.7518662,37.634894612,10.720567654,24.200135208,36.627393904,10.081481384,13.86949362,1.007500708,0.63908627,10.330641588,"NPK","N4 PK",192,35,90,0,0,0,0
"114",2008,7,13,"oats",2.85,2.3886135,0.55,0.3539085,36.07345314,7.701974235,14.433098805,35.3514798,7.50024639,9.41113719,0.72197334,0.201727845,5.021961615,"NPK","N4 PK",192,35,90,0,0,0,0
