"","Year","section","plot","Crop","Yield.t.ha","Yield.tDM.ha","Straw.t.ha","Straw.tDM.ha","N.offtake.kg.ha","P.offtake.kg.ha","K.offtake.kg.ha","Grain.N.offtake.kg.ha","Grain.P.offtake.kg.ha","Grain.K.offtake.kg.ha","Straw.N.offtake.kg.ha","Straw.P.offtake.kg.ha","Straw.K.offtake.kg.ha","Trt","Treatment","N.rate.kg.ha","P.rate.kg.ha","K.rate.kg.ha","FYM.tFM.ha","FYMN.rate.kg.ha","FYMP.rate.kg.ha","FYMK.rate.kg.ha"
"1",1970,2,1,"potato",29.92,6.1336,NA,NA,87.09712,10.059104,170.268736,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,273.028,55.7375,356.97725
"2",1973,2,1,"potato",38.88,8.47584,NA,NA,114.42384,20.0029824,216.981504,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,263.9952,28.5768,330.9768
"3",1976,2,1,"potato",30.27,5.69076,NA,NA,93.89754,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,189,43.64885,466.42225
"4",1980,2,1,"potato",52.88,10.576,NA,NA,132.2,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,259,34.9209,352.2456
"5",1983,2,1,"potato",16.87,3.91384,NA,NA,65.752512,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,231,43.086925,349.0403
"6",1988,2,1,"potato",51.97,11.01764,NA,NA,172.976948,19.64445212,277.84284552,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,213.5,28.2744,218.988
"7",1993,2,1,"potato",22.12,5.06548,NA,NA,74.0573176,9.1685188,115.746218,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,287,54.77374,428.0332
"8",1987,3,1,"potato",38.27,7.654,NA,NA,117.8716,21.132694,194.350368,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,227.5,35.21175,332.1024
"9",1992,3,1,"potato",53.97,10.74003,NA,NA,175.062489,26.48491398,278.44601778,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,192.5,52.4832,390.642
"10",1969,4,1,"potato",36.54,8.80614,NA,NA,132.972714,16.3794204,196.1127378,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,221.99492,46.1888,302.03145
"11",1972,4,1,"potato",34.98,8.53512,NA,NA,126.319776,13.8268944,213.6340536,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,300.993525,46.404225,365.99325
"12",1975,4,1,"potato",11.91,2.51301,NA,NA,43.977675,5.02602,69.359076,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,228.01996,39.92814,269.0044
"13",1978,4,1,"potato",29.06,6.62568,NA,NA,75.532752,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,283.5,44.10994,370.9048
"14",1979,4,1,"potato",25.58,5.14158,NA,NA,64.783908,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,210,29.80061,285.2248
"15",1982,4,1,"potato",41.02,9.51664,NA,NA,119.909664,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,273,57.56625,410.2875
"16",1985,4,1,"potato",44.57,9.04771,NA,NA,101.334352,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,255.5,44.31392,379.4
"17",1990,4,1,"potato",14.5,3.277,NA,NA,60.6245,6.901362,90.405876,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,290.5,48.64552,419.5268
"18",1995,4,1,"potato",8.91,1.96911,NA,NA,37.0980324,4.8440106,46.864818,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,273,66.51876,402.2676
"19",1986,5,1,"potato",46.07,8.20046,NA,NA,140.227866,21.0751822,238.7973952,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,262.5,36.392825,376.1793
"20",1991,5,1,"potato",41.94,8.68158,NA,NA,130.2237,20.75765778,223.55936658,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,280,57.155,477.96875
"21",1996,5,1,"potato",35.11,7.19755,NA,NA,112.2098045,14.683002,175.044416,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,287,66.4664,397.8688
"22",1968,7,1,"potato",34.57,7.77825,NA,NA,90.2277,17.73441,130.6746,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,217.00875,46.029375,324.043125
"23",1971,7,1,"potato",36.16,8.28064,NA,NA,120.897344,16.7268928,209.6658048,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,236.001675,41.936475,343.022925
"24",1974,7,1,"potato",58.52,12.40624,NA,NA,137.709264,24.81248,295.268512,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,245.00112,37.4738,307.99587
"25",1977,7,1,"potato",25.03,5.006,NA,NA,65.5786,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,287,44.15649,383.8338
"26",1981,7,1,"potato",27.74,5.04868,NA,NA,65.63284,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,238,39.4002,298.1034
"27",1984,7,1,"potato",21.8,4.8614,NA,NA,71.94872,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,252,49.774725,336.336
"28",1989,7,1,"potato",21.54,5.1696,NA,NA,89.95104,8.452296,139.4189424,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,224,34.19094,243.6441
"29",1994,7,1,"potato",15.57,3.17628,NA,NA,49.6134936,5.6220156,71.3392488,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,196,46.70575,308.25795
"30",1970,2,10,"potato",10.68,2.76612,NA,NA,39.555516,4.0385352,34.6318224,NA,NA,NA,NA,NA,NA,"N","N2",96,0,0,0,0,0,0
"31",1973,2,10,"potato",14.52,3.51384,NA,NA,56.572824,6.324912,40.057776,NA,NA,NA,NA,NA,NA,"N","N2",96,0,0,0,0,0,0
"32",1976,2,10,"potato",10.6,2.5122,NA,NA,46.72692,NA,NA,NA,NA,NA,NA,NA,NA,"N","N2",96,0,0,0,0,0,0
"33",1980,2,10,"potato",10.83,2.41509,NA,NA,35.018805,NA,NA,NA,NA,NA,NA,NA,NA,"N","N2",96,0,0,0,0,0,0
"34",1983,2,10,"potato",4.65,1.1253,NA,NA,18.11733,NA,NA,NA,NA,NA,NA,NA,NA,"N","N2",96,0,0,0,0,0,0
"35",1988,2,10,"potato",8.38,2.06148,NA,NA,29.479164,2.22433692,24.46564464,NA,NA,NA,NA,NA,NA,"N","N2",96,0,0,0,0,0,0
