"","Year","section","plot","Crop","Yield.t.ha","Yield.tDM.ha","Straw.t.ha","Straw.tDM.ha","N.offtake.kg.ha","P.offtake.kg.ha","K.offtake.kg.ha","Grain.N.offtake.kg.ha","Grain.P.offtake.kg.ha","Grain.K.offtake.kg.ha","Straw.N.offtake.kg.ha","Straw.P.offtake.kg.ha","Straw.K.offtake.kg.ha","Trt","Treatment","N.rate.kg.ha","P.rate.kg.ha","K.rate.kg.ha","FYM.tFM.ha","FYMN.rate.kg.ha","FYMP.rate.kg.ha","FYMK.rate.kg.ha","FertRegime","rec_N","rec_P","rec_K","rec_FYMN","rec_FYMP","rec_FYMK","rec_N_FYM","rec_P_FYM","rec_K_FYM"
"22",1968,"7","1","potato",34.57,7.77825,NA,NA,90.2277,17.73441,130.6746,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,217.00875,46.029375,324.043125,"B",NA,NA,NA,NA,NA,NA,0.157137708333333,-0.0875415714285713,-0.411712777777778
"51",1968,"7","10","potato",7.42,1.58046,NA,NA,27.65805,3.3505752,21.020118,NA,NA,NA,NA,NA,NA,"N","N2",96,0,0,0,0,0,0,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1968,"7","11","potato",7.68,1.63584,NA,NA,26.99136,5.1038208,21.593088,NA,NA,NA,NA,NA,NA,"NP","N2 P",96,35,0,0,0,0,0,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",1968,"7","13","potato",22.97,4.98449,NA,NA,55.327839,13.1590536,110.655678,NA,NA,NA,NA,NA,NA,"NPK","N2 PK",96,35,90,0,0,0,0,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",1968,"7","14","potato",16.01,3.79437,NA,NA,41.73807,10.5483486,52.362306,NA,NA,NA,NA,NA,NA,"N4PKMg","N2 PKMg*",96,35,90,0,0,0,0,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",1968,"7","16","potato",27.59,5.93185,NA,NA,59.3185,14.592351,135.24618,NA,NA,NA,NA,NA,NA,"N5PKMg","N3 PK(Na)Mg",144,35,90,0,0,0,0,"B",NA,0.321193594285714,1.26281213333333,NA,NA,NA,NA,NA,NA
"370",1968,"7","22","potato",33.05,6.70915,NA,NA,75.14248,20.798365,167.72875,NA,NA,NA,NA,NA,NA,"FYM","FYM",0,0,0,35,217.00875,46.029375,324.043125,"B",NA,NA,NA,0.255159388734325,0.218813434942139,0.221885615211368,NA,NA,NA
"399",1968,"7","3","potato",10.16,2.35712,NA,NA,23.5712,5.185664,37.242496,NA,NA,NA,NA,NA,NA,"Control","Nil",0,0,0,0,0,0,0,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"428",1968,"7","5","potato",10.92,2.32596,NA,NA,19.77066,7.0243992,54.427464,NA,NA,NA,NA,NA,NA,"PKMg","PK(Na)Mg",0,35,90,0,0,0,0,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"457",1968,"7","6","potato",20.73,4.47768,NA,NA,38.06028,13.1643792,100.7478,NA,NA,NA,NA,NA,NA,"N1PKMg","N1 PK(Na)Mg",48,35,90,0,0,0,0,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA
"486",1968,"7","7","potato",31.08,6.58896,NA,NA,64.571808,17.6584128,148.910496,NA,NA,NA,NA,NA,NA,"N2PKMg","N2 PK(Na)Mg",96,35,90,0,0,0,0,"B",0.466678625,NA,NA,NA,NA,NA,NA,NA,NA
