"","Year","section","plot","Crop","Yield.t.ha","Yield.tDM.ha","Straw.t.ha","Straw.tDM.ha","N.offtake.kg.ha","P.offtake.kg.ha","K.offtake.kg.ha","Grain.N.offtake.kg.ha","Grain.P.offtake.kg.ha","Grain.K.offtake.kg.ha","Straw.N.offtake.kg.ha","Straw.P.offtake.kg.ha","Straw.K.offtake.kg.ha","Trt","Treatment","N.rate.kg.ha","P.rate.kg.ha","K.rate.kg.ha","FYM.tFM.ha","FYMN.rate.kg.ha","FYMP.rate.kg.ha","FYMK.rate.kg.ha"
"2",1969,"2","1","wheat",6.1,5.0752,3.56,3.07228,123.089736,23.0336008,59.451148,104.0416,21.620352,28.42112,19.048136,1.4132488,31.030028,"FYM+NPK","FYM N2 PK",96,35,90,35,221.99492,46.1888,302.03145
"3",1972,"2","1","wheat",6.51,5.48142,9.09,7.39017,179.546208,26.88054,162.4260048,118.946814,18.3079428,25.7078598,60.599394,8.5725972,136.718145,"FYM+NPK","FYM N2 PK",96,35,90,35,300.993525,46.404225,365.99325
"4",1975,"2","1","wheat",6.04,5.24272,6.52,5.52244,141.658944,23.5350192,106.2191312,108.524304,18.4543744,23.3825312,33.13464,5.0806448,82.8366,"FYM+NPK","FYM N2 PK",96,35,90,35,228.01996,39.92814,269.0044
"5",1978,"2","1","wheat",7.84,6.56992,7.01,5.61501,183.3773,NA,NA,145.195232,NA,NA,38.182068,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,283.5,44.10994,370.9048
"6",1981,"2","1","wheat",8.03,6.64884,7.68,6.88128,174.743412,NA,NA,138.960756,NA,NA,35.782656,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,238,39.4002,298.1034
"7",1984,"2","1","wheat",8.92,7.4928,6.65,4.5885,176.28366,NA,NA,158.84736,NA,NA,17.4363,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,252,49.774725,336.336
"8",1985,"2","1","wheat",8.86,6.59184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N2 PK",96,35,90,35,255.5,44.31392,379.4
"9",1986,"2","1","wheat",6.86,5.66636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,262.5,36.392825,376.1793
"10",1989,"2","1","wheat",8.66,7.74204,3.7,3.2375,200.278966,25.0137792,99.3162442,177.292716,23.0712792,40.4908692,22.98625,1.9425,58.825375,"FYM+NPK","FYM N4 PK",192,35,90,35,224,34.19094,243.6441
"11",1990,"2","1","wheat",9.08,8.13568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,290.5,48.64552,419.5268
"12",1991,"2","1","wheat",9.14,7.64104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,280,57.155,477.96875
"13",1994,"2","1","wheat",10.64,9.10784,7.68,6.93504,229.2460352,41.5198336,141.3564544,189.7163072,36.2492032,47.1786112,39.529728,5.2706304,94.1778432,"FYM+NPK","FYM N4 PK",192,35,90,35,196,46.70575,308.25795
"14",1995,"2","1","wheat",9.08,8.11752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,273,66.51876,402.2676
"15",1996,"2","1","wheat",8.5,7.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FYM+NPK","FYM N4 PK",192,35,90,35,287,66.4664,397.8688
"16",1999,"2","1","wheat",10.07,8.59978,7.96,6.74212,206.2814264,38.4010018,163.7805372,177.155468,31.389197,42.8269044,29.1259584,7.0118048,120.9536328,"FYM+NPK","FYM N4 PK",192,35,90,35,294,44.19856,361.1748
"17",2000,"2","1","wheat",9.05,7.44815,NA,NA,188.017735956332,31.739746154471,130.337714375361,157.602854,26.664377,36.2724905,30.4148819563322,5.07536915447101,94.0652238753605,"FYM+NPK","FYM N4 PK",192,35,90,35,295.75,40.89792,308.238
"18",2001,"2","1","wheat",5.04,4.14288,NA,NA,111.142548089936,17.5313368508516,36.6066871350245,98.1448272,16.0329456,21.0872592,12.9977208899363,1.49839125085161,15.5194279350245,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
"19",2004,"2","1","wheat",9.2,8.0132,3.71,3.47256,222.874808,31.6602936,51.5151312,202.73396,28.84752,32.693856,20.140848,2.8127736,18.8212752,"FYM+NPK","(FYM) N4",192,0,0,0,0,0,0
