"","FARMCODE","TRT","TRIALTYPE","SEASON_NR","PK_Y_FM","NPK_Y_FM","PK_NS","NPK_NS","Nrec"
"1","F17","Control","NOT-SUBPLOTS",9,2.56519671536668,5.8753180394889,34.4173935248472,77.7143321718924,0.288646257646968
"2","F17","Control","NOT-SUBPLOTS",10,1.77266124960001,5.18956751205557,25.3286840550459,69.227320693757,0.292657577591407
"3","F17","Control","NOT-SUBPLOTS",11,0.980125783833337,4.50381698462223,16.2399745852447,60.7403092156217,0.296668897535847
"11","F23","Control","NOT-SUBPLOTS",9,3.51220115983334,6.01920903855557,45.2775362366209,79.495161368262,0.228117500877607
"21","F23","Control","NOT-SUBPLOTS",10,2.71966569406667,5.33345851112223,36.1888267668196,71.0081498901266,0.232128820822047
"31","F23","Control","NOT-SUBPLOTS",11,1.9271302283,4.6477079836889,27.1001172970184,62.5211384119913,0.236140140766486
"12","F24","Control","NOT-SUBPLOTS",9,2.05354957730001,4.42370807322223,28.549880473624,59.7488622923544,0.207993212124869
"22","F24","Control","NOT-SUBPLOTS",10,1.26101411153334,3.7379575457889,19.4611710038227,51.261850814219,0.212004532069309
"32","F24","Control","NOT-SUBPLOTS",11,0.46847864576667,3.05220701835556,10.3724615340214,42.7748393360837,0.216015852013748
"13","F5","Control","NOT-SUBPLOTS",9,1.60372412263334,3.49233936395557,23.391331681575,48.2220218311333,0.165537934330388
"23","F5","Control","NOT-SUBPLOTS",10,0.811188656866673,2.80658883652223,14.3026222117738,39.7350103529979,0.169549254274828
"33","F5","Control","NOT-SUBPLOTS",11,0.018653191100003,2.1208383090889,5.21391274197251,31.2479988748626,0.173560574219267
"14","F20","Control","NOT-SUBPLOTS",9,2.99951096903334,4.82475453795557,39.3980615714833,64.7123086380639,0.168761647110538
"24","F20","Control","NOT-SUBPLOTS",10,2.20697550326667,4.13900401052223,30.309352101682,56.2252971599286,0.172772967054977
"34","F20","Control","NOT-SUBPLOTS",11,1.4144400375,3.4532534830889,21.2206426318808,47.7382856817933,0.176784286999417
"15","F21","Control","NOT-SUBPLOTS",9,1.15816919576668,4.04034448175557,18.2817568321867,55.004263388064,0.244816710372515
"25","F21","Control","NOT-SUBPLOTS",10,0.365633730000007,3.35459395432223,9.1930473623854,46.5172519099286,0.248828030316955
"35","F21","Control","NOT-SUBPLOTS",11,-0.426901735766662,2.6688434268889,0.104337892584146,38.0302404317933,0.252839350261394
"16","F1","Control","RESTORATION",8,2.52999969701114,4.31183000000003,34.013757993247,58.3642326732677,0.162336497866805
"26","F1","Control","RESTORATION",9,3.09799475867781,4.98661000000004,40.527462828874,66.7154702970302,0.174586716454374
"36","F1","Control","RESTORATION",10,3.66598982034449,5.66139000000005,47.041167664501,75.0667079207926,0.186836935041944
"4","F1","Control","RESTORATION",11,4.23398488201116,6.33617000000005,53.554872500128,83.4179455445551,0.199087153629514
"17","F2","Control","RESTORATION",8,2.26138969701113,4.04322000000002,30.93336808499,55.0398514851487,0.160709889334392
"27","F2","Control","RESTORATION",9,2.8293847586778,4.71800000000002,37.447072920617,63.3910891089112,0.172960107921961
"37","F2","Control","RESTORATION",10,3.39737982034447,5.39278000000003,43.9607777562439,71.7423267326736,0.185210326509531
"41","F2","Control","RESTORATION",11,3.96537488201114,6.06756000000004,50.4744825918709,80.0935643564361,0.197460545097101
"18","F4","Control","RESTORATION",8,2.53649969701112,4.31833000000001,34.0882992776505,58.444678217822,0.162375859601143
"28","F4","Control","RESTORATION",9,3.1044947586778,4.99311000000002,40.6020041132775,66.7959158415844,0.174626078188713
"38","F4","Control","RESTORATION",10,3.67248982034447,5.66789000000003,47.1157089489045,75.1471534653469,0.186876296776283
"42","F4","Control","RESTORATION",11,4.24048488201114,6.34267000000004,53.6294137845315,83.4983910891094,0.199126515363853
"19","F6","Control","RESTORATION",8,0.924723030344459,2.70655333333335,15.6046219076199,38.4969471947197,0.152615501913998
"29","F6","Control","RESTORATION",9,1.49271809201113,3.38133333333336,22.1183267432469,46.8481848184821,0.164865720501568
"39","F6","Control","RESTORATION",10,2.0607131536778,4.05611333333336,28.6320315788739,55.1994224422446,0.177115939089138
"43","F6","Control","RESTORATION",11,2.62870821534448,4.73089333333337,35.1457364145009,63.5506600660071,0.189366157676708
"110","F7","Control","RESTORATION",8,3.69849969701112,5.48033000000001,47.413987351045,72.8258663366339,0.169412526570592
"210","F7","Control","RESTORATION",9,4.2664947586778,6.15511000000002,53.927692186672,81.1771039603963,0.181662745158162
"310","F7","Control","RESTORATION",10,4.83448982034447,6.82989000000003,60.441397022299,89.5283415841588,0.193912963745732
"44","F7","Control","RESTORATION",11,5.40248488201114,7.50467000000004,66.955101857926,97.8795792079213,0.206163182333302
"111","F8","Control","RESTORATION",8,1.69338969701113,3.47522000000002,24.4196066171001,48.0101485148517,0.157270279318344
"211","F8","Control","RESTORATION",9,2.2613847586778,4.15000000000002,30.9333114527271,56.3613861386142,0.169520497905914
"311","F8","Control","RESTORATION",10,2.82937982034447,4.82478000000003,37.447016288354,64.7126237623766,0.181770716493484
"45","F8","Control","RESTORATION",11,3.39737488201115,5.49956000000004,43.960721123981,73.0638613861391,0.194020935081054
"112","F10","Control","RESTORATION",8,1.93949969701112,3.72133000000002,27.2419690024212,51.0560643564358,0.158760635693431
"212","F10","Control","RESTORATION",9,2.5074947586778,4.39611000000002,33.7556738380481,59.4073019801983,0.171010854281001
"312","F10","Control","RESTORATION",10,3.07548982034447,5.07089000000003,40.2693786736751,67.7585396039608,0.183261072868571
"46","F10","Control","RESTORATION",11,3.64348488201114,5.74567000000004,46.7830835093021,76.1097772277232,0.195511291456141
"113","F12","Control","RESTORATION",8,1.34849969701112,3.13033000000001,20.4644460666413,43.7417079207922,0.15518174569434
"213","F12","Control","RESTORATION",9,1.9164947586778,3.80511000000002,26.9781509022683,52.0929455445547,0.167431964281909
"313","F12","Control","RESTORATION",10,2.48448982034447,4.47989000000003,33.4918557378953,60.4441831683172,0.179682182869479
"47","F12","Control","RESTORATION",11,3.05248488201114,5.15467000000004,40.0055605735223,68.7954207920797,0.191932401457049
"114","F13","Control","RESTORATION",8,3.03205636367779,4.81388666666668,39.7712885742866,64.5778052805282,0.165376778041611
"214","F13","Control","RESTORATION",9,3.60005142534446,5.48866666666669,46.2849934099136,72.9290429042907,0.177626996629181
"314","F13","Control","RESTORATION",10,4.16804648701114,6.1634466666667,52.7986982455406,81.2802805280532,0.189877215216751
"48","F13","Control","RESTORATION",11,4.73604154867781,6.8382266666667,59.3124030811675,89.6315181518156,0.202127433804321
"115","F14","Control","RESTORATION",8,2.23699969701112,4.01883000000001,30.6536662501275,54.7379950495051,0.16056219199585
"215","F14","Control","RESTORATION",9,2.80499475867779,4.69361000000002,37.1673710857545,63.0892326732676,0.17281241058342
"315","F14","Control","RESTORATION",10,3.37298982034447,5.36839000000003,43.6810759213815,71.44047029703,0.18506262917099
"49","F14","Control","RESTORATION",11,3.94098488201114,6.04317000000003,50.1947807570085,79.7917079207925,0.19731284775856
"116","F16","Control","RESTORATION",8,1.50805636367779,3.28988666666668,22.2942243541031,45.7164191419144,0.156147965252075
"216","F16","Control","RESTORATION",9,2.07605142534447,3.96466666666669,28.8079291897301,54.0676567656769,0.168398183839645
"316","F16","Control","RESTORATION",10,2.64404648701114,4.6394466666667,35.3216340253571,62.4188943894393,0.180648402427215
"410","F16","Control","RESTORATION",11,3.21204154867781,5.31422666666671,41.8353388609841,70.7701320132018,0.192898621014785
"117","F18","Control","RESTORATION",8,0.894499697011124,2.67633000000001,15.2580240482927,38.1228960396041,0.152432479942076
"217","F18","Control","RESTORATION",9,1.4624947586778,3.35111000000002,21.7717288839197,46.4741336633666,0.164682698529646
"317","F18","Control","RESTORATION",10,2.03048982034447,4.02589000000003,28.2854337195467,54.8253712871291,0.176932917117216
"411","F18","Control","RESTORATION",11,2.59848488201114,4.70067000000004,34.7991385551737,63.1766089108915,0.189183135704786
"118","F19","Control","RESTORATION",8,2.02199969701112,3.80383000000001,28.1880699198523,52.0771039603962,0.159260226936959
"218","F19","Control","RESTORATION",9,2.58999475867779,4.47861000000002,34.7017747554793,60.4283415841587,0.171510445524529
