"","Year","Crop","Control","FYM","FYMNPK","N","N1PKMg","N2PKMg","N4PKMg","N5PKMg","NP","NPK","PKMg","pred_P_UP_N1PKMg","pred_P_UP_N2PKMg","pred_P_UP_N4PKMg","pred_P_UP_N5PKMg","pred_P_UP_PKMg","pred_P_UP_Control","pred_P_UP_N","pred_P_UP_NP","pred_P_UP_NPK","pred_P_UP_FYMNPK","pred_P_UP_FYM"
"1",1968,"wheat",7.50691933142863,25.8800130340887,25.8624161375101,11.6777027719207,16.7760585245354,21.5248708491161,20.030228241712,22.3015964932212,15.5327321603857,21.0592705929453,9.64355786384016,16.4780075957689,18.3485679431281,18.3485679431281,19.0384466312635,9.46047093402481,7.54327510136452,8.08799101207789,13.5863624419487,18.3485679431281,25.2415646954183,22.1158718176962
"2",1969,"potato",7.64783455720942,22.3310095917153,14.0136700460278,5.39583444915764,16.1818925885319,17.7770713498118,15.1530898831438,13.5814596751964,7.23856374963055,13.7574966630048,12.4634071582476,13.320242660069,13.5509302837061,13.5509302837061,13.4991323833194,10.786306682052,5.84622714967113,5.5441232736984,11.7812462200882,13.5509302837061,16.0161085458152,16.2215170262459
"3",1970,"beans",6.74472660567011,16.8425774770987,13.76488640567,5.92648117709982,14.9545390342414,15.819198948527,13.2696185770989,16.99947480567,5.83813833424153,13.9496032056701,13.2482712056699,15.8784394932339,16.0625017003517,16.0625017003517,16.2313319676641,15.654454223899,8.54983096334216,7.89417115672647,9.25866685741771,16.0625017003517,17.7868748601064,17.8852044756854
"4",1971,"wheat",7.28580400218611,25.6588977048462,25.6413008082676,11.4565874426782,16.5549431952928,21.3037555198736,19.8091129124695,22.0804811639787,15.3116168311432,20.8381552637028,9.42244253459764,16.4311237091866,18.4884011169019,18.4884011169019,19.3250740166596,9.48580953320033,7.44367267566923,7.93782252301914,12.4261971869435,18.4884011169019,22.5025885059312,22.5623803443796
"5",1972,"potato",6.74058114853028,21.4237561830362,13.1064166373486,4.4885810404785,15.2746391798528,16.8698179411327,14.2458364744647,12.6742062665173,6.33131034095141,12.8502432543257,11.5561537495685,13.2058653901139,13.6210682195115,13.6210682195115,13.6793310379741,10.4068805529489,5.72137888769841,5.48472412494849,11.5435089355513,13.6210682195115,15.7184556501292,16.7958225841865
"6",1973,"beans",6.54906834030146,16.6469192117301,13.5692281403013,5.73082291173117,14.7588807688728,15.6235406831584,13.0739603117302,16.8038165403013,5.64248006887289,13.7539449403014,13.0526129403012,16.3476119551223,16.4352130953503,16.4352130953503,16.5202729420347,16.2205272796096,8.2795882870301,7.67469626988062,8.74033385030694,16.4352130953503,17.9060216156973,17.9399499655941
"7",1974,"wheat",7.06468867294359,25.4377823756037,25.4201854790251,11.2354721134357,16.3338278660503,21.0826401906311,19.587997583227,21.8593658347361,15.0905015019007,20.6170399344603,9.20132720535512,16.4807290210189,18.6400607974949,18.6400607974949,19.534005197545,9.51114739219271,7.38504097442342,7.78827110961158,11.8424139249197,18.6400607974949,21.7924601215987,21.8156109449821
"8",1975,"potato",5.8333277398512,20.5165027743571,12.1991632286695,3.58132763179942,14.3673857711737,15.9625645324536,13.3385830657856,11.7669528578382,5.42405693227233,11.9429898456466,10.6489003408894,13.085946285722,13.6526974347518,13.6526974347518,13.7995542493422,9.9797847790416,5.61346145424587,5.40885145214585,11.3752820307697,13.6526974347518,15.0410151846641,15.686318935217
"9",1976,"beans",6.35341007493281,16.4512609463614,13.3735698749327,5.53516464636252,14.5632225035041,15.4278824177897,12.8783020463616,16.6081582749327,5.44682180350424,13.5582866749328,12.8569546749326,16.81559586407,16.8071800714522,16.8071800714522,16.8074295762291,16.7866191589569,8.0872400274298,7.50130824391195,8.4242288895558,16.8071800714522,17.9688839891835,17.7135735230822
"10",1977,"wheat",6.84357334370107,25.2166670463612,25.1990701497826,11.0143567841931,16.1127125368078,20.8615248613885,19.3668822539845,21.6382505054936,14.8693861726582,20.3959246052178,8.9802118761126,16.5289450673536,18.7844606254229,18.7844606254229,19.7297615630488,9.53648546805336,7.32682818282381,7.65184504737191,11.4451638947373,18.7844606254229,23.5747333184949,23.2049682065495
"11",1978,"potato",4.92607433117206,19.6092493656779,11.2919098199904,2.67407422312028,13.4601323624945,15.0553111237745,12.4313296571065,10.859699449159,4.51680352359319,11.0357364369674,9.74164693221025,12.8929153026927,13.6263826628857,13.6263826628857,13.8707371169285,9.4949039513632,5.5038956058805,5.33164159636939,11.2175252228638,13.6263826628857,16.1117469028026,16.4735577097126
"12",1979,"potato",4.62365652827901,19.3068315627849,10.9894920170974,2.37165642022723,13.1577145596015,14.7528933208814,12.1289118542134,10.557281646266,4.21438572070014,10.7333186340744,9.43922912931721,12.8946245592965,13.7507596406501,13.7507596406501,14.0668020892804,9.3264580206428,5.53538023173576,5.38692465765693,10.5159513751407,13.7507596406501,15.2146629166564,15.3507617805348
"13",1980,"wheat",6.62245801445852,24.9955517171186,24.97795482054,10.7932414549506,15.8915972075652,20.640409532146,19.1457669247419,21.4171351762511,14.6482708434156,20.1748092759752,8.75909654687005,16.6694511173979,19.0763964736208,19.0763964736208,20.0684396708869,9.56182291692329,7.36939911360325,7.47538858243282,10.0598679573766,19.0763964736208,23.1586049645494,22.1078656111219
"14",1982,"potato",3.71640311959987,18.3995781541058,10.0822386084182,1.46440301154809,12.2504611509223,13.8456399122023,11.2216584455343,9.65002823758686,3.307132312021,9.82606522539525,8.53197572063807,12.3615082138944,13.3320852150146,13.3320852150146,13.7249314135222,8.81755053850526,5.64718152836728,5.60698121479672,11.0666018371675,13.3320852150146,15.812560012004,16.5157355640295
"15",1983,"wheat",6.401342685216,24.7744363878761,24.7568394912975,10.5721261257081,15.6704818783227,20.4192942029035,18.9246515954994,21.1960198470086,14.4271555141731,19.9536939467327,8.53798121762753,16.6101980471295,19.0349671610367,19.0349671610367,20.0560388156273,9.58715429381428,7.43070720951285,7.59801518855047,10.4620508463616,19.0349671610367,23.7657657106898,22.2857109360972
"16",1985,"potato",2.80914971092079,17.4923247454267,9.17498519973914,0.557149602869011,11.3432077422433,12.9383865035232,10.3144050368552,8.74277482890777,2.39987890334192,8.91881181671617,7.62472231195898,11.8785241611004,13.043309048317,13.043309048317,13.55687104325,8.30863666939755,5.55430565090773,5.57367200376619,11.1313754686357,13.043309048317,15.1212952517977,15.670437394402
"17",1986,"wheat",6.83507872333647,25.7976945673045,33.2910007587317,13.484601917738,14.6382543640254,20.165515621074,20.7144407997336,26.7971811231514,16.812447270839,20.1756077293884,7.47877502486342,16.0681003052831,19.4371447867894,19.4371447867894,20.5401928765436,6.34426453760903,6.1079335551575,7.54166380893322,10.4173653482262,19.4371447867894,25.4138306701379,23.2707163582044
"18",1987,"wheat",6.76137361358897,25.723989457557,33.2172956489842,13.4108968079905,14.5645492542779,20.0918105113265,20.6407356899861,26.7234760134039,16.7387421610915,20.1019026196409,7.40506991511591,16.0494621314429,19.3362257612836,19.3362257612836,20.6328559046106,6.35270754735607,6.07313876614897,7.38039920824418,10.6626716984392,19.3362257612836,24.9996208228702,22.0732229414148
"19",1988,"wheat",6.68766850384146,25.6502843478095,33.1435905392367,13.337191698243,14.4908441445304,20.018105401579,20.5670305802386,26.6497709036564,16.665037051344,20.0281975098934,7.33136480536841,16.0384716429396,19.3163934514322,19.3163934514322,20.7457972607062,6.36114389691211,6.05391988053507,7.29550094419689,10.8079617675231,19.3163934514322,24.4219965089045,21.2063087567771
"20",1990,"potato",1.95191206381855,17.2246092396324,16.4181727819506,2.17865170967622,9.02000654272328,11.3936342364711,10.8132205558666,13.052962419828,3.49419697478499,7.84975191414905,5.27454243397217,9.86508245694968,12.7453197729775,12.7453197729775,14.4668154137059,3.80001444579699,3.79644040682029,5.42280700588896,11.1712148820711,12.7453197729775,16.8499256067142,16.5200342746279
"21",1991,"wheat",6.46655317459894,25.429169018567,32.9224752099942,13.1160763690005,14.2697288152879,19.7969900723365,20.3459152509961,26.4286555744139,16.4439217221015,19.8070821806508,7.11024947612589,16.0451845146811,19.5845500709641,19.5845500709641,20.8845933218807,6.38648547467598,6.13047472069401,7.37980502141508,10.2709094843335,19.5845500709641,27.7553710331185,24.6014193985421
"22",1992,"wheat",6.39284806485144,25.3554639088195,32.8487701002467,13.042371259253,14.1960237055404,19.723284962589,20.2722101412486,26.3549504646664,16.3702166123539,19.7333770709033,7.03654436637838,16.0083117895579,19.4825412558268,19.4825412558268,20.9660414858906,6.39493675140502,6.07579395567268,7.22043593182313,10.4353515040687,19.4825412558268,27.1285718337498,21.8700944394457
"23",1993,"wheat",6.31914295510393,25.281758799072,32.7750649904992,12.9686661495054,14.1223185957929,19.6495798528415,20.198505031501,26.2812453549189,16.2965115026064,19.6596719611558,6.96283925663087,15.9855126735616,19.4597402073701,19.4597402073701,21.0707901293076,6.40337260499951,6.04629506027229,7.13576256892739,10.5260350290689,19.4597402073701,28.48785698503,24.8341942299602
"24",1995,"potato",0.439823049353436,15.7125202251673,14.9060837674855,0.666562695211105,7.50791752825816,9.88154522200599,9.30113154140144,11.5408734053628,1.98210796031987,6.33766289968393,3.76245341950705,7.72520532495876,11.5475265852191,11.5475265852191,14.301516729701,2.95182897876212,2.9518264557287,5.26186729112589,10.9575869138303,11.5475265852191,17.6717857409645,16.5512761736815
