"","P_labile","P_stable","P_labile_FYM","K_labile","K_stable","K_labile_FYM","Trt"
"709",0.3,474.6,0,155.4,1265.4,0,"N1PKMg"
"7091",-1.2,385.6,0,119.8,989.3,0,"N2PKMg"
"7092",38.7,772.8,0,99.2,939.2,0,"N4PKMg"
"7093",-2.4,337.3,0,101.7,847.5,0,"N5PKMg"
"7094",9.8,710.6,0,272.7,2138.9,0,"PKMg"
"7095",-4.9,-237.6,0,-83.9,-956.6,0,"Control"
"7096",-5.9,-266.1,0,-91,-1020.2,0,"N"
"7097",54.8,1046.8,0,-95.9,-1057,0,"NP"
"7098",38.7,772.8,0,99.2,939.2,0,"NPK"
"7099",-38.8,1508.1,0,789,6482.5,7.4,"FYMNPK"
"70910",51.5,1148.1,5.5,957.4,8942.3,-130.3,"FYM"
