"Exp.","Crop","Trt","mean","stderr","std","p0.05","p0.95"
"Hanninghof","potato","FYM","1:0.21:1.78","1:0:0.04","1:0.01:0.29","1:0.19:1.32","1:0.23:2.24"
"Hanninghof","potato","FYMNPK","1:0.17:1.48","1:0:0.02","1:0.01:0.16","1:0.16:1.22","1:0.18:1.73"
"Hanninghof","potato","NPK","1:0.13:1.48","1:0:0.03","1:0.01:0.22","1:0.11:1.12","1:0.15:1.83"
"Hanninghof","potato","NP","1:0.14:1.01","1:0:0.04","1:0.01:0.27","1:0.12:0.56","1:0.16:1.44"
"Hanninghof","potato","NK","1:0.12:1.5","1:0:0.03","1:0.01:0.21","1:0.1:1.15","1:0.14:1.84"
"Hanninghof","potato","PK","1:0.19:1.91","1:0:0.08","1:0.02:0.54","1:0.15:1.04","1:0.23:2.76"
"Hanninghof","rye","FYM","1:0.24:0.8","1:0:0.02","1:0.01:0.11","1:0.22:0.61","1:0.26:0.99"
"Hanninghof","rye","FYMNPK","1:0.23:0.85","1:0:0.01","1:0.01:0.05","1:0.22:0.76","1:0.24:0.94"
"Hanninghof","rye","NPK","1:0.22:0.82","1:0:0.01","1:0.01:0.06","1:0.2:0.72","1:0.23:0.91"
"Hanninghof","rye","NP","1:0.23:0.63","1:0:0.01","1:0.01:0.05","1:0.21:0.54","1:0.24:0.72"
"Hanninghof","rye","NK","1:0.18:0.81","1:0:0.01","1:0.01:0.06","1:0.17:0.71","1:0.2:0.91"
"Hanninghof","rye","PK","1:0.25:0.86","1:0:0.02","1:0.02:0.14","1:0.22:0.62","1:0.27:1.11"
"Hanninghof","oats","FYM","1:0.33:1.09","1:0.01:0.04","1:0.04:0.3","1:0.27:0.62","1:0.39:1.6"
"Hanninghof","oats","FYMNPK","1:0.27:1.16","1:0:0.02","1:0.01:0.12","1:0.24:0.97","1:0.29:1.37"
"Hanninghof","oats","NPK","1:0.24:1.06","1:0:0.02","1:0.01:0.14","1:0.21:0.82","1:0.26:1.29"
"Hanninghof","oats","NP","1:0.24:0.72","1:0:0.02","1:0.02:0.14","1:0.21:0.47","1:0.27:0.96"
"Hanninghof","oats","NK","1:0.21:1.01","1:0:0.02","1:0.01:0.14","1:0.18:0.78","1:0.23:1.25"
"Hanninghof","oats","PK","1:0.31:1.14","1:0.01:0.05","1:0.04:0.37","1:0.23:0.57","1:0.38:1.78"
"Broadbalk","wheat","FYM","1:0.21:0.61","1:0:0.01","1:0.01:0.13","1:0.19:0.47","1:0.23:0.84"
"Broadbalk","wheat","FYMNPK","1:0.15:0.52","1:0:0.01","1:0.01:0.11","1:0.14:0.36","1:0.16:0.62"
"Broadbalk","wheat","N1PKMg","1:0.22:0.51","1:0:0.01","1:0.01:0.08","1:0.2:0.41","1:0.23:0.65"
"Broadbalk","wheat","N5PKMg","1:0.14:0.41","1:0:0.01","1:0.02:0.06","1:0.12:0.34","1:0.17:0.52"
"Broadbalk","wheat","NP","1:0.16:0.28","1:0:0.01","1:0.01:0.07","1:0.15:0.19","1:0.19:0.39"
"Broadbalk","wheat","PKMg","1:0.23:0.46","1:0:0.01","1:0.02:0.11","1:0.19:0.33","1:0.26:0.63"
"Broadbalk","potato","FYM","1:0.21:2.27","1:0:0.02","1:0.01:0.09","1:0.19:2.1","1:0.22:2.38"
"Broadbalk","potato","FYMNPK","1:0.13:1.83","1:0:0.04","1:0.01:0.21","1:0.11:1.43","1:0.15:2.02"
"Broadbalk","potato","N1PKMg","1:0.22:2.22","1:0:0.02","1:0.02:0.12","1:0.19:2.06","1:0.24:2.44"
"Broadbalk","potato","N5PKMg","1:0.15:2.08","1:0.01:0.08","1:0.03:0.44","1:0.1:1.26","1:0.18:2.4"
"Broadbalk","potato","NP","1:0.12:0.5","1:0.01:0.05","1:0.03:0.25","1:0.07:0.12","1:0.16:0.9"
"Broadbalk","potato","PKMg","1:0.27:2.54","1:0:0.11","1:0.02:0.58","1:0.23:2.05","1:0.31:3.58"
"Broadbalk","beans","FYM","1:0.12:0.53","1:0:0.01","1:0:0.03","1:0.11:0.49","1:0.13:0.56"
