"","Year","Crop","Control","FYM","FYMN","FYMNK","FYMNP","FYMNPK","FYMNPKMg","FYMPK","N","NK","NP","NPK","NPKMg","PK","pred_N_UP_NPK","pred_N_UP_PK","pred_N_UP_NK","pred_N_UP_Control","pred_N_UP_N","pred_N_UP_NP","pred_N_UP_NPKMg","pred_N_UP_FYMNPK","pred_N_UP_FYM","pred_N_UP_FYMPK","pred_N_UP_FYMNK","pred_N_UP_FYMNP","pred_N_UP_FYMNPKMg"
"1",1961,"potato",27.7666723658402,56.3889315068926,98.0175731051532,104.627911747425,100.210878511103,102.388170694788,99.304061380051,56.7122459832094,53.5906739401532,75.9450728474196,59.424525154788,73.2371204189985,81.6261056989986,30.2056593789986,63.2757163137298,30.2056594051385,62.4106822057058,30.2056600639253,62.4107279349232,63.2741940911939,63.2757163137298,68.2182692738785,32.6878807291583,32.6878815347713,67.5500461301638,68.2182781286454,68.2182692738785
"2",1962,"rye",24.4448595088647,39.4260797864839,88.4473480760134,88.3080410345791,94.7191116693409,91.4902908250552,91.0991868574362,42.536852774103,74.0378958390132,81.804409411722,78.9248789055315,84.4353108545791,86.7075398474363,31.2843872793411,48.500327030625,31.2843851349801,48.5003275322777,31.2843726136155,48.5003325843418,48.5003344299478,48.500327030625,48.5003264962863,31.2842983824479,31.2843790286809,48.5003297265249,48.5003287218374,48.5003264962863
"3",1963,"oats",19.5321857763282,28.4631659304452,69.9513960639748,73.844601088092,75.3608643210332,75.8524043522097,74.1936501163274,31.0484457904452,52.5215129855671,61.9181831016217,55.8116164386805,62.4493447069158,65.350890607504,22.908143489857,49.5175162870423,22.9081436871858,49.2753475556573,22.9081483313477,49.2752999358823,49.5175209322664,49.5175162870423,49.5617465204405,22.9081495142435,22.908145512029,49.5218272426503,49.5617454283204,49.5617465204405
"4",1964,"potato",27.4021378340524,56.0243969751048,97.6530385733654,104.263377215637,99.8463439793155,102.023636163,98.9395268482632,56.3477114514216,53.2261394083654,75.5805383156318,59.0599906230002,72.8725858872107,81.2615711672108,29.8411248472108,63.1129171458325,29.8411318803891,62.0441978420851,29.8411254845827,62.0441965582099,62.9571588963923,63.1129171458325,72.2320204222865,36.4838787157351,36.4838791580689,71.3113301840329,72.2320678701814,72.2320204222865
"5",1965,"rye",24.673277624766,39.6544979023852,88.6757661919147,88.5364591504805,94.9475297852422,91.7187089409565,91.3276049733375,42.7652708900043,74.2663139549146,82.0328275276234,79.1532970214329,84.6637289704804,86.9359579633376,31.5128053952424,49.6432659010422,31.5127944828943,49.6432640902826,31.5127887591229,49.6432638631952,49.6432638837948,49.6432659010422,49.6432637951802,31.512798741279,31.512805394039,49.6432638254485,49.6432645298697,49.6432637951802
"6",1966,"oats",19.6341697815805,28.5651499356976,70.0533800692272,73.9465850933443,75.4628483262856,75.954388357462,74.2956341215798,31.1504297956976,52.6234969908194,62.020167106874,55.9136004439328,62.5513287121681,65.4528746127563,23.0101274951093,51.3704081924188,23.0101292609686,51.0104101115301,23.0101299757388,51.0103990072313,51.3703443726648,51.3704081924188,51.4330516241022,23.0101283804641,23.0101289815023,51.3809479273162,51.4330520980623,51.4330516241022
"7",1967,"potato",27.0376033022646,55.6598624433171,97.2885040415777,103.89884268385,99.4818094475278,101.659101631212,98.5749923164755,55.9831769196338,52.8616048765776,75.216003783844,58.6954560912125,72.508051355423,80.897036635423,29.4765903154231,62.8889059805009,29.4765903431341,61.6772382661089,29.4765903155246,61.6772305049221,62.5373200784868,62.8889059805009,76.1868243532855,40.2798668087341,40.2798756283822,75.0174247815998,76.1868552195688,76.1868243532855
"8",1968,"rye",24.9016957406674,39.8829160182866,88.9041843078161,88.7648772663818,95.1759479011436,91.9471270568578,91.5560230892388,42.9936890059057,74.4947320708159,82.2612456435247,79.3817151373342,84.8921470863818,87.164376079239,31.7412235111438,50.7862021728156,31.7412210753522,50.7862055129482,31.7412171161807,50.7862360195253,50.7862433297304,50.7862021728156,50.7862127198994,31.7412235032568,31.7412235104515,50.7862028231654,50.7862059366953,50.7862127198994
"9",1969,"oats",19.7361537868329,28.6671339409499,70.1553640744795,74.0485690985967,75.5648323315379,76.0563723627144,74.3976181268321,31.2524138009499,52.7254809960718,62.1221511121264,56.0155844491852,62.6533127174204,65.5548586180087,23.1121115003617,53.2139052879997,23.1121121554476,52.7177527329201,23.1121144934703,52.7177439923217,53.2034660963482,53.2139052879997,53.304348876024,23.1121126507448,23.1121115451933,53.2344134073297,53.3043605792402,53.304348876024
"10",1970,"potato",26.6730687704768,55.2953279115293,96.9239695097899,103.534308152062,99.11727491574,101.294567099425,98.2104577846877,55.618642387846,52.4970703447898,74.8514692520562,58.3309215594247,72.1435168236352,80.5325021036352,29.1120557836353,62.6314817135497,29.1120558091649,61.3101314864216,29.1120632951604,61.3101278394122,62.1007263307803,62.6314817135497,80.0973412469764,44.075876960303,44.0758766998052,78.6668781285734,80.0973635200357,80.0973412469764
