"","Year","Crop","Control","FYM","FYMN","FYMNK","FYMNP","FYMNPK","FYMNPKMg","FYMPK","N","NK","NP","NPK","NPKMg","PK","pred_P_UP_NPK","pred_P_UP_PK","pred_P_UP_NK","pred_P_UP_Control","pred_P_UP_N","pred_P_UP_NP","pred_P_UP_NPKMg","pred_P_UP_FYMNPK","pred_P_UP_FYM","pred_P_UP_FYMPK","pred_P_UP_FYMNK","pred_P_UP_FYMNP","pred_P_UP_FYMNPKMg"
"1",1961,"potato",5.41311566427291,12.7891845151672,16.6636477735994,17.6628912357464,17.3617712004832,17.989107898378,17.5219975673255,12.979463029167,7.6376293011549,9.68902572916756,8.86626863916753,10.3802574196413,11.9447539824307,6.40616962337807,10.1936233083802,7.35079548021023,9.18365770731971,7.0782268179719,9.18364621443937,10.1936192945494,10.1936233083802,11.5772316866447,7.91261421566021,8.10349725389649,10.6099561620909,11.5772317040557,11.5772316866447
"2",1962,"rye",5.48852624414167,9.10028881157022,18.9366203505682,19.1076356971416,21.0409018333321,20.3536764485702,20.5071734880941,10.4601932304274,12.8556859977039,14.2862370646993,17.2441039506993,17.6771642946993,18.3728275541993,7.37763081671309,13.246603146555,8.28531599895534,12.6768057473425,8.28531491957467,12.6768049654692,13.2466051577726,13.246603146555,13.4500989020803,8.28530852061307,8.28531547257202,13.3102302899354,13.4501027646945,13.4500989020803
"3",1963,"oats",7.32431900054843,11.109079012431,19.1701598941368,19.8244052170779,21.7201824494309,21.7634706153133,22.3653277364898,12.0101020913133,11.9693592964354,14.3172189964897,14.8370080229603,16.4993892211956,18.0814463029604,8.72163641731329,14.1148087625865,7.56325738846094,12.6958918784819,7.56325701274127,12.6959053169412,14.114813050782,14.1148087625865,15.3649204860858,7.5632578208039,7.5632576013104,14.1574898546662,15.3649240946688,15.3649204860858
"4",1964,"potato",5.06928795866883,12.4453568095632,16.3198200679953,17.3190635301423,17.0179434948791,17.6452801927739,17.1781698617214,12.6356353235629,7.29380159555082,9.34519802356348,8.52244093356346,10.0364297140372,11.6009262768266,6.062341917774,10.4289166795727,7.31519818412459,9.12288109371061,7.01450254267872,9.12288147410905,10.428913874217,10.4289166795727,12.2814420802723,8.67625159803429,9.05846608310733,11.0035494081598,12.2814480491429,12.2814420802723
"5",1965,"rye",5.45612612275411,9.06788869018267,18.9042202291806,19.075235575754,21.0085017119445,20.3212763271827,20.4747733667065,10.4277931090398,12.8232858763164,14.2538369433118,17.2117038293118,17.6447641733118,18.3404274328118,7.34523069532554,13.5875348191968,8.35384065628981,12.8268089383541,8.35384015155147,12.8268049571656,13.5875236659145,13.5875348191968,13.7929791561126,8.35384103180488,8.35384161846689,13.6617136577662,13.792980077957,13.7929791561126
"6",1966,"oats",6.99639571265604,10.7811557245386,18.8422366062445,19.4964819291855,21.3922591615385,21.4355473274209,22.0374044485974,11.6821788034209,11.641436008543,13.9892957085974,14.5090847350679,16.1714659333033,17.753523015068,8.3937131294209,14.5307918730181,7.60405089799162,12.7588226945723,7.60405074574097,12.7588233438988,14.5308017403686,14.5307918730181,16.0945438882436,7.60405107777873,7.60405118598317,14.6269996349639,16.0945323231198,16.0945438882436
"7",1967,"potato",4.72546025306476,12.1015291039591,15.9759923623912,16.9752358245382,16.674115789275,17.3014524871699,16.8343421561173,12.2918076179589,6.94997388994675,9.00137031795941,8.17861322795938,9.69260200843311,11.2570985712225,5.71851421216992,10.5956684823946,7.24431233296002,9.06169303511426,6.9460097760055,9.06169626001707,10.5956751930188,10.5956684823946,12.8878394489848,9.34546289787026,9.93803706163312,11.3530980229934,12.8878249445765,12.8878394489848
"8",1968,"rye",5.42372600136659,9.03548856879514,18.8718201077931,19.0428354543665,20.976101590557,20.2888762057951,20.442373245319,10.3953929876523,12.7908857549288,14.2214368219242,17.1793037079242,17.6123640519243,18.3080273114243,7.31283057393801,13.9092330331624,8.42236683386711,12.960447315081,8.42236647713101,12.9604399260603,13.9092372399609,13.9092330331624,14.1358717469709,8.42236705263024,8.42236705327995,14.0026496390318,14.1358648207794,14.1358717469709
"9",1969,"oats",6.66847242476365,10.4532324366462,18.5143133183521,19.1685586412931,21.0643358736461,21.1076240395285,21.709481160705,11.3542555155285,11.3135127206506,13.661372420705,14.1811614471756,15.8435426454109,17.4255997271756,8.06578984152851,14.8929353790202,7.64484454617382,12.8056714067922,7.64484421604163,12.8056712487931,14.8929224827656,14.8929353790202,16.752454610564,7.64484471428298,7.64484460638704,15.056304067954,16.7524464972528,16.752454610564
"10",1970,"potato",4.38163254746065,11.757701398355,15.6321646567871,16.6314081189341,16.3302880836709,16.9576247815658,16.4905144505132,11.9479799123547,6.60614618434264,8.6575426123553,7.83478552235528,9.348774302829,10.9132708656184,5.37468650656582,10.7234627858114,7.1511348491569,9.00038812204237,6.87444963578255,9.00039082393701,10.7234768980675,10.7234627858114,13.4270736597594,9.93608058862692,10.7462600005572,11.664021600143,13.4270811828512,13.4270736597594
"11",1971,"rye",5.39132587997904,9.00308844740759,18.8394199864055,19.010435332979,20.9437014691694,20.2564760844076,20.4099731239314,10.3629928662647,12.7584856335413,14.1890367005367,17.1469035865367,17.5799639305367,18.2756271900367,7.28043045255046,14.2186448477564,8.4908924372129,13.0790491740202,8.49089033624941,13.0790444436345,14.2186337502763,14.2186448477564,14.4787419204392,8.49089084944048,8.49089208022353,14.3348720626211,14.4787496018114,14.4787419204392
"12",1972,"oats",6.34054913687126,10.1253091487538,18.1863900304597,18.8406353534007,20.7364125857537,20.7797007516361,21.3815578728126,11.0263322276361,10.9855894327582,13.3334491328126,13.8532381592832,15.5156193575185,17.0976764392832,7.73786655363613,15.2208407382476,7.68563794403159,12.8384655690251,7.68563808076317,12.8384696736171,15.2208491630174,15.2208407382476,17.3614684253614,7.68563855135748,7.68563928662111,15.4500734699696,17.3614690927336,17.3614684253614
"13",1973,"potato",4.03780484185658,11.4138736927509,15.288336951183,16.28758041333,15.9864603780668,16.6137970759617,16.1466867449092,11.6041522067507,6.26231847873857,8.31371490675123,7.4909578167512,9.00494659722493,10.5694431600144,5.03085880096174,10.8285337160376,7.04930674745022,8.93912489957356,6.80071781254165,8.93912098467526,10.8285377831743,10.8285337160376,13.9175717337212,10.4607349988879,11.491188707133,11.9409639761815,13.9175844764833,13.9175717337212
"14",1974,"rye",5.35892575859148,8.97068832602003,18.807019865018,18.9780352115914,20.9113013477819,20.22407596302,20.3775730025439,10.3305927448772,12.7260855121537,14.1566365791491,17.1145034651491,17.5475638091492,18.2432270686491,7.24803033116291,14.5193209056448,8.55941410176036,13.1838020209448,8.55941701204033,13.1837954304196,14.5193079390655,14.5193209056448,14.8216289708282,8.55941568201438,8.55941663572857,14.6591578021899,14.8216292032858,14.8216289708282
"15",1975,"oats",6.01262584897887,9.7973858608614,17.8584667425673,18.5127120655083,20.4084892978614,20.4517774637437,21.0536345849202,10.6984089397437,10.6576661448658,13.0055258449202,13.5253148713908,15.1876960696261,16.7697531513908,7.40994326574374,15.5261243558072,7.72643179001205,12.8588966999515,7.72643156441305,12.8588826881917,15.5261374854634,15.5261243558072,17.9347767404376,7.72643206239276,7.72643187215201,15.8121634900662,17.9347768002213,17.9347767404376
"16",1976,"potato",3.6939771362525,11.0700459871468,14.944509245579,15.9437527077259,15.6426326724628,16.2699693703576,15.8028590393051,11.2603245011466,5.91849077313449,7.96988720114715,7.14713011114713,8.66111889162085,10.2256154544103,4.68703109535767,10.9198319623645,6.94723629456772,8.87801188520021,6.72530671788386,8.87801083597408,10.9198828978172,10.9198319623645,14.3708878635453,10.9295233127363,12.1814019892367,12.1879694816792,14.3708983677591,14.3708878635453
"17",1977,"rye",5.3265256372039,8.93828820463245,18.7746197436304,18.9456350902038,20.8789012263943,20.1916758416324,20.3451728811563,10.2981926234896,12.6936853907661,14.1242364577615,17.0821033437615,17.5151636877616,18.2108269472616,7.21563020977533,14.8133312517847,8.62794227010036,13.2757613624309,8.62793906697823,13.2757561222283,14.8133169648532,14.8133312517847,15.1645050218964,8.62794004601879,8.62794150181964,14.97572508625,15.1645070337772,15.1645050218964
"18",1978,"oats",5.68470256108648,9.46946257296901,17.5305434546749,18.184788777616,20.080566009969,20.1238541758513,20.7257112970278,10.3704856518513,10.3297428569734,12.6776025570278,13.1973915834984,14.8597727817337,16.4418298634984,7.08201997785135,15.8156691240788,7.76722554823986,12.8683614963866,7.76722540371283,12.868358991969,15.8156624333924,15.8156691240788,18.4804314794227,7.76722782292816,7.76722642213787,16.145816417295,18.4804326387366,18.4804314794227
"19",1979,"potato",6.47505031853563,13.85111916943,17.7255824278621,18.7248258900091,18.4237058547459,19.0510425526408,18.5839322215882,14.0413976834297,8.69956395541762,10.7509603834303,9.92820329343026,11.442192073904,13.0066886366934,7.4681042776408,11.6128697415806,8.19235177805113,9.09295433621517,7.42806285996076,9.03118504169123,11.2989324192588,11.6128697415806,15.2398494330822,11.6860790284842,13.3583567837602,12.6443953574325,15.2292593231231,15.2398494330822
"20",1980,"rye",8.41902640370355,12.0307889711321,21.8671205101301,22.0381358567035,23.971401992894,23.2841766081321,23.437673647656,13.3906933899892,15.7861861572658,17.2167372242612,20.1746041102612,20.6076644542612,21.3033277137612,10.308130976275,19.2749921290529,10.2217903257762,15.5012161083812,10.2217934067176,15.5019584707944,19.2781395872785,19.2749921290529,22.7954152515722,10.2217939922494,10.2217936374254,19.9314364730869,22.7955280559793,22.7954152515722
"21",1981,"oats",8.48168016108127,12.2664401729638,20.3275210546697,20.9817663776107,22.8775436099638,22.9208317758461,23.5226888970226,13.1674632518461,13.1267204569682,15.4745801570226,15.9943691834932,17.6567503817285,19.2388074634932,9.87899757784614,16.4559229571479,9.84178600039031,13.0381357281737,9.6089294330189,13.0386999404063,16.4583640779993,16.4559229571479,19.6672159679644,9.84178711001034,9.84178616028868,16.845175972027,19.6672824985585,19.6672159679644
"22",1982,"potato",6.13122261293156,13.5072914638259,17.381754722258,18.380998184405,18.0798781491418,18.7072148470367,18.2401045159841,13.6975699778257,8.35573624981355,10.4071326778262,9.58437558782618,11.0983643682999,12.6628609310893,7.12427657203672,11.6848157400508,8.12227289130444,9.01292123461505,7.35401020178023,8.92968924944373,11.2847006352258,11.6848157400508,15.5637556529427,12.0065168200984,13.8964560925522,12.7818869862044,15.5128063171209,15.5637556529427
"23",1983,"rye",8.38662628231603,11.9983888497446,21.8347203887425,22.005735735316,23.9390018715064,23.2517764867446,23.4052735262684,13.3582932686017,15.7537860358783,17.1843371028737,20.1422039888737,20.5752643328737,21.2709275923737,10.2757308548875,19.5324328084358,10.2903191573965,15.4507683063862,10.2894509358738,15.4522895087438,19.5385773135068,19.5324328084358,23.303299977062,10.2903191114968,10.2903194364457,20.2123815888391,23.3037235486221,23.303299977062
"24",1984,"oats",8.15375687318888,11.9385168850714,19.9995977667773,20.6538430897184,22.5496203220714,22.5929084879537,23.1947656091302,12.8395399639537,12.7987971690758,15.1466568691302,15.6664458956008,17.3288270938361,18.9108841756008,9.55107428995375,16.6749025929764,9.88257929188474,12.9921688177236,9.61837107542117,12.9933221115309,16.6796836328119,16.6749025929764,20.1121065542929,9.8825798802989,9.8825801323433,17.0756032802317,20.1124631396475,20.1121065542929
"25",1985,"potato",5.78739490732748,13.1634637582218,17.0379270166539,18.0371704788009,17.7360504435377,18.3633871414326,17.8962768103801,13.3537422722216,8.01190854420947,10.0633049722221,9.24054788222211,10.7545366626958,12.3190332254853,6.78044886643265,11.763678906304,8.04430825000106,8.94012761643093,7.28370334464452,8.83965241765679,11.2845253372942,11.763678906304,15.8821638645119,12.3016469856488,14.4097679245085,12.9106129314536,15.730277072629,15.8821638645119
"26",1986,"rye",8.35422616092848,11.965988728357,21.802320267355,21.9733356139284,23.9066017501189,23.219376365357,23.3728734048809,13.3258931472142,15.7213859144907,17.1519369814861,20.1098038674861,20.5428642114862,21.2385274709861,10.2433307334999,19.7947890751877,10.3588437224578,15.4012598979651,10.3535951420741,15.4035638830075,19.8038573027692,19.7947890751877,23.8049386970164,10.3588378295608,10.3588432965859,20.4806732469799,23.8063825772863,23.8049386970164
"27",1987,"oats",7.82583358529649,11.610593597179,19.6716744788849,20.325919801826,22.221697034179,22.2649852000613,22.8668423212379,12.5116166760614,12.4708738811834,14.8187335812378,15.3385226077084,17.0009038059437,18.5829608877084,9.22315100206136,16.8967359093235,9.9233711144544,12.9463858363221,9.62821401706136,12.9481179983299,16.9038288587436,16.8967359093235,20.5494370456409,9.9233732463499,9.92337371445039,17.293649084775,20.5506921731032,20.5494370456409
"28",1988,"potato",5.44356720172338,12.8196360526177,16.6940993110498,17.6933427731968,17.3922227379336,18.0195594358285,17.5524491047759,13.0099145666175,7.66808083860537,9.71947726661803,8.896720176618,10.4107089570917,11.9752055198812,6.43662116082854,11.8456053379232,7.9572001521523,8.87158022679476,7.21533307222058,8.75467386714283,11.2847253183593,11.8456053379232,16.1921339594346,12.5733298848422,14.9004935390795,13.028777082883,15.918901087893,16.1921339594346
"29",1989,"rye",8.32182603954092,11.9335886069695,21.7699201459674,21.9409354925408,23.8742016287313,23.1869762439695,23.3404732834933,13.2934930258266,15.6889857931032,17.1195368600986,20.0774037460986,20.5104640900986,21.2061273495986,10.2109306121123,20.0582868955567,10.427363573918,15.3498019389096,10.4144650325917,15.3528999995622,20.0703477258025,20.0582868955567,24.2980885271362,10.4273656994864,10.4273700403283,20.7345663805462,24.3011872226957,24.2980885271362
"30",1990,"oats",7.4979102974041,11.2826703092866,19.3437511909925,19.9979965139336,21.8937737462866,21.937061912169,22.5389190333455,12.183693388169,12.142950593291,14.4908102933454,15.010599319816,16.6729805180513,18.255037599816,8.89522771416897,17.11860800986,9.96416565406709,12.8987611740417,9.63782265081823,12.9010940390908,17.1281232254518,17.11860800986,20.9775362685389,9.96416729094161,9.96416715430875,17.4984092799795,20.9802789571442,20.9775362685389
"31",1991,"potato",5.0997394961193,12.4758083470136,16.3502716054458,17.3495150675927,17.0483950323296,17.6757317302244,17.2086213991719,12.6660868610134,7.32425313300129,9.37564956101395,8.55289247101393,10.0668812514877,11.6313778142771,6.09279345522447,11.9284831637073,7.86030755151902,8.80558511196078,7.14785957781083,8.6721124846879,11.280347315088,11.9284831637073,16.4924418384349,12.8235984008182,15.3707836649175,13.1360687612375,16.0965840521252,16.4924418384349
"32",1992,"rye",8.28942591815334,11.9011884855819,21.7375200245798,21.9085353711533,23.8418015073438,23.1545761225819,23.3080731621057,13.261092904439,15.6565856717156,17.087136738711,20.045003624711,20.478063968711,21.173727228211,10.1785304907248,20.3207808041332,10.4958951447708,15.2949355276801,10.4723311630818,15.2988475727026,20.3360652764664,20.3207808041332,24.7818679925264,10.4958942905632,10.495890170322,20.9738754557217,24.7871843512039,24.7818679925264
"33",1993,"oats",7.16998700951171,10.9547470213942,19.0158279031001,19.6700732260412,21.5658504583942,21.6091386242766,22.2109957454531,11.8557701002766,11.8150273053987,14.162887005453,14.6826760319236,16.3450572301589,17.9271143119236,8.56730442627658,17.339012990791,10.0049592727048,12.8483311302976,9.64681728166144,12.8512901720099,17.3511160678829,17.339012990791,21.3959545230064,10.0049615507064,10.0049660489289,17.6900156579317,21.4006665618034,21.3959545230064
"34",1994,"potato",4.75591179051523,12.1319806414096,16.0064438998417,17.0056873619887,16.7045673267255,17.3319040246203,16.8647936935678,12.3222591554093,6.98042542739721,9.03182185540988,8.20906476540985,9.72305354588357,11.287550108673,5.74896574962039,12.0110909099346,7.75845545757109,8.74119360510438,7.08066517410234,8.59080313253917,11.2693907545605,12.0110909099346,16.783170336552,13.0544782260828,15.8226541844129,13.2329491831434,16.2624847500042,16.783170336552
"35",1995,"rye",8.25702579676582,11.8687883641944,21.7051199031923,21.8761352497657,23.8094013859562,23.1221760011944,23.2756730407182,13.2286927830515,15.6241855503281,17.0547366173235,20.0126035033235,20.4456638473235,21.1413271068235,10.1461303693372,20.581157893183,10.5644212232947,15.2360155031746,10.5273300949417,15.240812412073,20.5999504292312,20.581157893183,25.2562804182414,10.5644207307122,10.5644211232589,21.1990623965725,25.2642386288562,25.2562804182414
"36",1996,"oats",6.84206372161933,10.6268237335019,18.6879046152077,19.3421499381488,21.2379271705018,21.2812153363842,21.8830724575607,11.5278468123842,11.4871040175063,13.8349637175606,14.3547527440312,16.0171339422665,17.5991910240312,8.23938113838419,17.5571345052669,10.0457520485084,12.7947137100162,9.65497019369651,12.7983379952727,17.5720977233124,17.5571345052669,21.8048624665177,10.0457541525209,10.0457546628171,17.8691676365012,21.811971855196,21.8048624665177
"37",1997,"potato",4.41208408491115,11.7881529358055,15.6626161942376,16.6618596563846,16.3607396211214,16.9880763190163,16.5209659879637,11.9784314498052,6.63659772179314,8.6879941498058,7.86523705980578,9.3792258402795,10.9437224030689,5.40513804401632,12.0927747304133,7.65638550913899,8.67788926994964,7.01341049006936,8.51022718928569,11.250879221515,12.0927747304133,17.0647007661902,13.2679498397289,16.2579530548496,13.3202155931853,16.4168324223715,17.0647007661902
"38",1998,"rye",8.22462567537826,11.8363882428068,21.6727197818048,21.8437351283782,23.7770012645687,23.0897758798068,23.2432729193307,13.196292661664,15.5917854289405,17.0223364959359,19.9802033819359,20.4132637259359,21.1089269854359,10.1137302479497,20.8388134570676,10.6329456203634,15.172878792963,10.5795612296258,15.1785864936425,20.8614227108595,20.8388134570676,25.7216145851293,10.6329466407989,10.6329462093151,21.4109902741158,25.7326515014809,25.7216145851293
"39",1999,"oats",6.51414043372691,10.2989004456094,18.3599813273153,19.0142266502564,20.9100038826094,20.9532920484918,21.5551491696683,11.1999235244918,11.1591807296138,13.5070404296682,14.0268294561388,15.6892106543741,17.2712677361388,7.91145785049177,17.7726654115959,10.0865459061791,12.737844190934,9.66214504996656,12.742168663444,17.7907102163505,17.7726654115959,22.2047183595109,10.0865477721255,10.086549139438,18.0367855874211,22.2146247779019,22.2047183595109
"40",2000,"potato",4.06825637930708,11.4443252302014,15.3187884886335,16.3180319507805,16.0169119155173,16.6442486134122,16.1771382823596,11.6346037442012,6.29277001618906,8.34416644420172,7.5214093542017,9.03539813467542,10.5998946974649,5.06131033841224,12.1731642750497,7.55432294254157,8.61537960214824,6.94589724476097,8.42999802995957,11.224256232678,12.1731642750497,17.3377120313302,13.4658166873998,16.6783898420921,13.3987884167306,16.560180457822,17.3377120313302
"41",2001,"rye",8.19222555399071,11.8039881214193,21.6403196604172,21.8113350069906,23.7446011431811,23.0573757584192,23.2108727979431,13.1638925402764,15.559385307553,16.9899363745484,19.9478032605484,20.3808636045484,21.0765268640484,10.0813301265621,21.0934865945116,10.7014719323553,15.1055643493239,10.6290696751419,15.0791445829372,21.120385363226,21.0934865945116,26.1783413490813,10.7014685785536,10.7014681468179,21.6106514704532,26.1928872928719,26.1783413490813
"42",2002,"oats",6.18621714583452,9.97097715771705,18.0320580394229,18.686303362364,20.582080594717,20.6253687605994,21.2272258817759,10.8720002365994,10.8312574417215,13.1791171417758,13.6989061682464,15.3612873664817,16.9433444482464,7.58353456259938,17.9853496464211,10.1273354040186,12.6778055117211,9.66829229407535,12.6793808919513,18.0068348918593,17.9853496464211,22.5961011057362,10.1273413033784,10.1273477149819,18.1938686971208,22.6091979743027,22.5961011057362
"43",2003,"potato",3.724428673703,11.1004975245973,14.9749607830295,15.9742042451764,15.6730842099133,16.3004209078081,15.8333105767556,11.2907760385971,5.94894231058499,8.00033873859765,7.17758164859763,8.69157042907135,10.2560669918608,4.71748263280817,12.2520755920143,7.45225005972249,8.55347569474033,6.87799705238395,8.35027986225305,11.1891102225973,12.2520755920143,17.6029190805172,13.6497499312675,17.0854816789783,13.4695812177419,16.6932268967305,17.6029190805172
