"","P_labile","P_stable","P_labile_FYM","K_labile","K_stable","K_labile_FYM","Trt"
"769",234.2,930,0,90.3,1111.9,0,"NPK"
"7691",314.2,1163.3,0,320.8,2846,0,"PK"
"7692",-106.9,-470.5,0,147.2,1383.9,0,"NK"
"7693",-73.4,-337.3,0,-165.1,-1893.9,0,"Control"
"7694",-106.2,-469.5,0,-199.7,-2491.5,0,"N"
"7695",237,934.5,0,-205.2,-2516.8,0,"NP"
"7696",234.2,930,0,90.3,1111.9,0,"NPKMg"
"7697",360.4,1597.8,227.5,186.5,2282.2,67.7,"FYMNPK"
"7698",69.2,373.2,252.2,-42.9,-574.5,105.1,"FYM"
"7699",447.2,1856.8,260.5,383,3870.6,143,"FYMPK"
"76910",13.7,181.9,223,207.6,2450.9,77.6,"FYMNK"
"76911",361.9,1600.3,228.2,-132.7,-1520.2,49.6,"FYMNP"
"76912",360.4,1597.8,227.5,186.5,2282.2,67.7,"FYMNPKMg"
