"","Dataset","Season","Crop","Treatment","Measured_N_Uptake.kg.ha","Measured_P_Uptake.kg.ha","Measured_K_Uptake.kg.ha","Predicted_N_Uptake.kg.ha","Predicted_P_Uptake.kg.ha","Predicted_K_Uptake.kg.ha","cols","pchs"
"1","Siaya","LR2016","maize","NPK",81.2583186559387,9.70447641372342,82.8803385359353,NA,NA,NA,"green",1
"2","Siaya","LR2016","maize","NPK",78.6991095519004,8.89261443064043,53.3053002656592,78.6991095519005,10.0198112543816,51.5914480349456,"green",1
"3","Siaya","LR2016","maize","NPK",66.9888382552261,7.01842619972138,51.9968678844097,66.9888382552261,8.3977882405334,49.6860377017711,"green",1
"4","Siaya","LR2016","maize","NPK",60.7680769891149,7.28252764097086,41.7321002196815,60.7680769891147,8.45307133796117,40.887304011666,"green",1
"5","Siaya","LR2016","maize","NPK",78.7868848156779,9.16466147519798,65.5104630906943,78.7870272604692,10.4060555795341,62.117438281068,"green",1
"6","Siaya","LR2016","maize","NPK",91.5538854373585,12.7241323538933,87.282087949881,91.553737850418,13.6334825564894,82.074020619707,"green",1
"7","Siaya","LR2016","maize","NPK",77.9319687572657,7.99758022514032,51.5476762852382,77.931851038732,9.23453181186553,49.7537167372878,"green",1
"8","Siaya","LR2016","maize","NPK",62.5016210863619,6.43492690472916,42.5744339547595,62.5016210863621,7.7625587121101,41.4269662101293,"green",1
"9","Siaya","LR2016","maize","NPK",58.5554835975512,4.71848800503367,29.6564404159588,NA,NA,NA,"green",1
"10","Siaya","LR2016","maize","NPK",76.2346885602287,8.52291241744477,63.027092578753,NA,NA,NA,"green",1
"11","Siaya","LR2016","maize","NPK",76.6255508330311,9.06089409521138,83.2664011902987,76.6261139933057,10.2874750865227,76.5141540148022,"green",1
"12","Siaya","LR2016","maize","NPK",49.5732763136465,4.62563253341337,25.1325958028557,NA,NA,NA,"green",1
"13","Siaya","LR2016","maize","NPK",54.5935124090994,4.72810314131624,27.3877678716633,NA,NA,NA,"green",1
"14","Siaya","LR2016","maize","NPK",73.0082825971859,7.33213834082607,44.5956289862745,NA,NA,NA,"green",1
"15","Siaya","LR2016","maize","NPK",68.8833500386754,7.00127548584899,43.5411463534787,68.8833500386754,8.25627118575638,42.4835272612276,"green",1
"16","Siaya","LR2016","maize","NPK",73.6101030103641,10.2835432978063,51.1289663586061,NA,NA,NA,"green",1
"17","Siaya","LR2016","maize","NPK",62.9078412650815,5.3191140532016,32.179830329475,62.9080633363634,6.39729001415897,30.6048402578969,"green",1
"18","Siaya","LR2016","maize","NPK",56.6732625082145,5.14292161721148,34.9645660135193,56.6730303881205,6.30725595543149,32.9505955529351,"green",1
"19","Siaya","LR2016","maize","NPK",93.0863134378309,10.8640545941071,75.3582055092818,NA,NA,NA,"green",1
"20","Siaya","LR2016","maize","NPK",74.7799370793423,9.8891573148662,64.7250249801177,74.779269824414,10.988497897756,61.6429564601101,"green",1
"21","Siaya","LR2016","maize","NPK",74.767693019324,8.09097929489449,48.3474362187899,74.7675838183338,9.25709062774172,47.0303908150621,"green",1
"22","Siaya","LR2018","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"23","Siaya","LR2018","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"24","Siaya","LR2018","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"25","Siaya","LR2018","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"26","Siaya","LR2018","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"27","Siaya","LR2018","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"28","Siaya","LR2018","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"29","Siaya","LR2018","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"30","Siaya","LR2018","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"31","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"32","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"33","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"34","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"35","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"36","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"37","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"38","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"39","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"40","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"41","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"42","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"43","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"44","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"45","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"46","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"47","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"48","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"49","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"50","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"51","Siaya","LR2016","maize","NPK",NA,NA,NA,NA,NA,NA,"green",1
"52","Siaya","LR2018","maize","NPK",80.9401093562105,15.0894568537912,58.392417958413,80.9401093562105,11.3569786518655,80.8696270767135,"green",1
"53","Siaya","LR2018","maize","NPK",80.5891755315009,11.6770163064135,44.0769747250963,80.588397330371,6.47468732062734,33.8464389726351,"green",1
"54","Siaya","LR2018","maize","NPK",71.287556458854,11.2299948827648,48.5934620612105,71.2879753840435,10.2362146495915,64.1725426776205,"green",1
"55","Siaya","LR2018","maize","NPK",60.8248214122949,9.08272011630608,27.4535581714613,60.8245752117241,6.31135806008771,30.0055365291481,"green",1
"56","Siaya","LR2018","maize","NPK",63.0765546683918,8.33525146023415,33.944586081285,63.0765546683919,6.43972020503198,31.9197172114176,"green",1
"57","Siaya","LR2018","maize","NPK",92.103776669609,10.9567067317933,51.1306976365847,92.1034494716087,9.11328805746573,48.5403114324325,"green",1
"58","Siaya","LR2018","maize","NPK",62.1172765430984,8.61056471563325,31.2635601387299,NA,NA,NA,"green",1
"59","Siaya","LR2018","maize","NPK",83.5955115691298,13.2662375862785,57.8976643796603,83.5951578019851,11.6552359521577,54.9240486569724,"green",1
"60","Siaya","LR2018","maize","NPK",89.127427820124,16.0572937310458,66.2106668250342,89.127427820124,12.424203287253,75.3339765204149,"green",1
"61","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"62","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"63","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"64","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"65","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"66","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"67","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"68","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"69","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"70","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"71","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"72","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"73","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"74","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"75","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"76","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"77","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"78","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"79","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"80","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"81","Siaya","LR2016","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"82","Siaya","LR2018","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"83","Siaya","LR2018","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"84","Siaya","LR2018","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"85","Siaya","LR2018","maize","PK",17.8544194462882,3.5142471968455,5.16077564678675,17.8544508232423,4.93280643103274,24.7440982444839,"green",1
"86","Siaya","LR2018","maize","PK",20.1061527023852,2.76677854077356,11.6518035566104,20.1061527023851,5.31966406991123,27.1938261790523,"green",1
"87","Siaya","LR2018","maize","PK",49.1333747036024,5.38823381233273,28.8379151119101,49.1333747036022,8.82910453545369,47.1342444934911,"green",1
"88","Siaya","LR2018","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"89","Siaya","LR2018","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"90","Siaya","LR2018","maize","PK",NA,NA,NA,NA,NA,NA,"green",1
"91","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"92","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"93","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"94","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"95","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"96","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"97","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"98","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"99","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"100","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"101","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"102","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"103","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"104","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"105","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"106","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"107","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"108","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"109","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"110","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"111","Siaya","LR2016","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"112","Siaya","LR2018","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"113","Siaya","LR2018","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"114","Siaya","LR2018","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"115","Siaya","LR2018","maize","NK",42.9129567581323,5.36928488291409,18.4215171181876,42.9129567581324,3.10696813985108,26.5307647757176,"green",1
"116","Siaya","LR2018","maize","NK",45.1646900142293,4.62181622684216,24.9125450280112,45.164785771689,3.20076608147998,28.066874258281,"green",1
"117","Siaya","LR2018","maize","NK",74.1919120154465,7.24327149840133,42.0986565833109,74.191776727786,5.88179580072079,45.2689626295524,"green",1
"118","Siaya","LR2018","maize","NK",44.2054118889359,4.89712948224126,22.2315190854561,NA,NA,NA,"green",1
"119","Siaya","LR2018","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"120","Siaya","LR2018","maize","NK",NA,NA,NA,NA,NA,NA,"green",1
"121","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"122","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"123","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"124","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"125","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"126","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"127","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"128","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"129","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"130","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"131","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"132","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"133","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"134","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"135","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"136","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"137","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"138","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"139","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"140","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
"141","Siaya","LR2016","maize","NP",NA,NA,NA,NA,NA,NA,"green",1
